Dates,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Balance
2013-01-01 00:00:00,57831.6,3706.0,50218.2,3975.8,0.0,6770.8,-791.6,754.8,6802.4
2013-01-01 03:00:00,50945.833333333336,3655.1666666666665,45954.0,3538.1666666666665,0.0,5614.666666666667,-2565.0,737.5,5988.666666666667
2013-01-01 06:00:00,48686.166666666664,3649.5,43695.0,3313.8333333333335,0.0,5645.166666666667,-3122.8333333333335,720.8333333333334,5215.333333333333
2013-01-01 09:00:00,50578.0,3673.8333333333335,46448.0,2749.8333333333335,193.33333333333334,6325.833333333333,-1996.8333333333333,708.1666666666666,7524.166666666667
2013-01-01 12:00:00,55020.166666666664,3675.5,49709.833333333336,2274.6666666666665,555.3333333333334,6867.666666666667,-651.8333333333334,704.6666666666666,8115.666666666667
2013-01-01 15:00:00,52601.166666666664,3659.3333333333335,51825.166666666664,1526.6666666666667,190.0,6218.333333333333,-1681.6666666666667,712.5,9849.166666666666
2013-01-01 18:00:00,60616.666666666664,3660.3333333333335,53796.333333333336,1685.1666666666667,0.0,9528.333333333334,-8.833333333333334,703.5,8748.166666666666
2013-01-01 21:00:00,59458.166666666664,3666.6666666666665,53935.666666666664,1846.1666666666667,0.0,7470.333333333333,-291.1666666666667,710.6666666666666,7880.166666666667
2013-01-02 00:00:00,56969.0,3668.6666666666665,53175.166666666664,1727.6666666666667,0.0,6520.0,-1956.8333333333333,715.5,6881.166666666667
2013-01-02 03:00:00,52808.666666666664,3640.3333333333335,52052.833333333336,1563.8333333333333,0.0,6143.833333333333,-2919.3333333333335,710.0,8382.833333333334
2013-01-02 06:00:00,61778.0,4112.166666666667,56121.833333333336,1320.0,0.0,7846.5,-817.6666666666666,694.5,7499.333333333333
2013-01-02 09:00:00,69231.33333333333,4983.333333333333,57084.5,1044.6666666666667,498.3333333333333,10499.833333333334,-36.166666666666664,691.8333333333334,5535.0
2013-01-02 12:00:00,69919.5,5092.0,57148.0,969.8333333333334,1203.6666666666667,10088.333333333334,-12.333333333333334,696.6666666666666,5266.666666666667
2013-01-02 15:00:00,66362.66666666667,5353.833333333333,56943.833333333336,1125.1666666666667,400.1666666666667,8455.166666666666,-5.833333333333333,702.0,6611.666666666667
2013-01-02 18:00:00,72597.0,5637.666666666667,57462.333333333336,1597.5,0.0,12440.0,-4.333333333333333,698.5,5234.666666666667
2013-01-02 21:00:00,66266.16666666667,5041.0,56217.666666666664,1976.3333333333333,0.0,8263.666666666666,-91.83333333333333,699.8333333333334,5840.5
2013-01-03 00:00:00,62213.833333333336,4666.333333333333,55102.833333333336,2040.8333333333333,0.0,7069.333333333333,-1439.6666666666667,718.3333333333334,5944.166666666667
2013-01-03 03:00:00,56691.833333333336,4563.5,52730.5,1985.3333333333333,0.0,6101.166666666667,-2813.8333333333335,719.6666666666666,6594.5
2013-01-03 06:00:00,65065.0,5377.666666666667,55778.166666666664,1922.6666666666667,0.16666666666666666,7881.833333333333,-1120.5,708.0,5483.0
2013-01-03 09:00:00,71478.5,6396.333333333333,56134.333333333336,1602.8333333333333,420.1666666666667,11186.5,-17.0,706.8333333333334,4951.5
2013-01-03 12:00:00,71736.83333333333,6663.666666666667,55672.666666666664,1419.1666666666667,935.6666666666666,11785.333333333334,-21.666666666666668,739.0,5457.0
2013-01-03 15:00:00,68110.0,6614.0,55501.0,1245.8333333333333,329.8333333333333,9199.333333333334,-4.166666666666667,738.5,5514.333333333333
2013-01-03 18:00:00,72563.66666666667,6998.333333333333,55873.333333333336,1394.3333333333333,0.0,12030.333333333334,-3.8333333333333335,735.1666666666666,4464.0
2013-01-03 21:00:00,65267.666666666664,6274.5,55355.166666666664,1260.1666666666667,0.0,7898.0,-322.5,745.5,5943.166666666667
2013-01-04 00:00:00,60993.166666666664,5232.333333333333,55258.5,1174.8333333333333,0.0,6699.666666666667,-2332.0,753.1666666666666,5793.333333333333
2013-01-04 03:00:00,55244.333333333336,4683.0,52083.833333333336,1029.6666666666667,0.0,5969.5,-3067.8333333333335,762.6666666666666,6216.5
