Dates,Balance,Consommation,Eolien,Solaire,Hydraulique
2013-01-01,7016.331143356586,59593.96928352597,3889.83780812033,185.52846597570226,6348.371409637633
2013-01-02,5918.203672889102,61085.083945791346,1267.9014533184425,214.73952712964316,6998.6621265604335
2013-01-03,5889.659284239482,62272.424210668076,1324.9581856391662,255.71601740950643,7687.901957464373
2013-01-04,6486.469952483992,63905.48993164272,1882.4566344270247,190.1433273317914,8261.400623550748
2013-01-05,6704.866695687959,62370.38414728143,835.5686255645244,150.81584540555073,7919.25036029641
2013-01-06,6721.523590754915,59846.87179671372,874.4081967052031,94.88265479592951,7423.399242335763
2013-01-07,6356.170827322333,63601.8721548679,680.464689626974,157.54106427560018,8355.702170688068
2013-01-08,5889.233068221444,68549.164378901,279.9898656596259,63.396719377224045,9568.93770780224
2013-01-09,6075.546748826569,69932.0840131724,621.1565016216521,103.06225296341947,9851.454640340768
2013-01-10,6442.573367166348,71137.18212245044,368.99267722644055,187.69887924965627,10106.959601010423
2013-01-11,7330.077201163449,72957.96623967792,789.6890014287635,305.48002238357793,10233.414870434215
2013-01-12,7506.321019385705,71751.48174338197,1154.8549638632649,231.70595262324895,9436.369976695132
2013-01-13,5190.268705453681,69653.8019536253,790.3310840727877,56.35978517794885,8519.978557879795
2013-01-14,3785.4781998672493,73739.3340522974,272.45600138706686,215.55489923851684,9125.04379046275
2013-01-15,2530.5897681041984,78626.49489898747,743.4343618321394,130.90396983659843,10084.615643098476
2013-01-16,901.1513830112043,79542.65035256575,534.2383309143902,241.05148707929098,10164.435565118496
2013-01-17,-717.7343774198891,79867.46434745782,786.2587012654054,141.4493970229653,10259.421410816993
2013-01-18,-784.5677066113133,80436.69476271137,772.7529789621909,103.66213114007554,10270.00040653516
2013-01-19,2519.0076198123043,77676.86129544943,552.2755539731385,53.44063648796027,9359.35411896515
2013-01-20,3436.09451546647,73854.95690870263,1605.2632003649373,193.28858295569296,8328.943934586374
2013-01-21,2426.091245185952,76066.88955575901,1966.1380034882727,201.17831723563583,8852.293648292536
2013-01-22,2093.928146601375,78855.83848272778,880.9393009596168,155.73099180467383,9742.081520426915
2013-01-23,2333.1713937083205,77638.86030162912,982.7027881730676,-17.9349248663018,9753.646608160425
2013-01-24,2572.8870971429346,75971.74481180549,2267.1422017879277,213.01978003320053,9792.539914344121
2013-01-25,2590.116419602598,74887.22779762628,3166.541711001486,321.96731448507575,9791.32638791248
2013-01-26,4069.9692647769784,70992.61978575856,2347.4521730483402,214.67631252255532,8898.886726819039
2013-01-27,6385.922095292723,66726.32868603985,3215.763339885735,111.38775622049268,7926.41443242237
2013-01-28,8045.677676019643,69148.5399985761,4258.313944524944,421.7908036340738,8582.610424870616
2013-01-29,7723.189887560995,72560.9538342829,4414.542247451563,107.21361133552047,9657.000007725852
2013-01-30,8666.136104590716,72309.98844301549,3852.6691220333028,275.5441785164897,9876.831162489176
2013-01-31,8768.727271939286,71814.75402877464,3387.9446683213546,274.45216759779163,10126.709034954
2013-02-01,7228.794994244545,71994.79917012514,2889.555423421402,191.23625554467955,10340.528868382658
2013-02-02,7444.067775391622,69378.63637030043,3525.329421005425,209.58865566649862,9624.783501319223
2013-02-03,7034.305441109702,66392.86352211401,4279.283288930903,360.14146132666036,8771.63284426848
2013-02-04,7484.698184162301,69960.1769247474,4325.754647979116,117.29791128953097,9508.377367854033
2013-02-05,6453.01567659657,74113.89555303218,5529.405322708914,323.7156234209499,10606.428338822434
2013-02-06,3851.6936892503927,74171.4108072359,5524.163510428588,306.2756630595065,10781.119021101495
2013-02-07,3542.6974274102245,73526.7146087034,3171.758028003075,321.94716341148603,10917.58560566159
2013-02-08,4217.050148709212,73172.40697297348,1226.9099723974734,251.03118403294155,10984.071750026156
2013-02-09,4321.740809426487,69813.1633868115,1783.508774680407,292.49760726891276,10082.801675636201
2013-02-10,3864.228037156912,66159.2725657949,2034.9071772666634,177.93762986233605,9016.989452270538
2013-02-11,3278.390198004015,69284.7779680107,1135.1016289961556,99.15648067925187,9559.127671145978
2013-02-12,1577.246177208872,73182.62562660791,1049.553831812565,247.46723327004625,10491.380421562699
2013-02-13,1617.2938680610496,73265.50508653632,1290.33346901724,342.5518413761999,10536.584495412015
2013-02-14,2968.441587704728,72907.48412916475,1465.0255337070587,194.83212103863016,10583.92906114984
2013-02-15,4660.686159819823,73074.6119909028,2487.322388515967,362.9552713591469,10632.360265965664
2013-02-16,6780.439842962426,70474.83511750898,1349.0461665181015,628.781877520759,9767.768318463133
2013-02-17,6861.567544875004,67887.09860800303,12.962259403403266,523.0199640832064,8774.998261972487
2013-02-18,5474.150229424171,72301.97388748337,1278.632814025703,472.07970144270894,9433.409716024535
2013-02-19,3538.050675565069,77430.1406234603,1058.7173766445055,575.3325005250061,10500.686104326765
2013-02-20,3277.171407527177,78542.41701032335,2095.8548074798996,626.9979821456009,10669.643970486824
2013-02-21,1852.5141747835075,78783.45869215621,3279.6286422371827,534.9357914730454,10791.86837694733
2013-02-22,393.26321636107025,78947.49409743321,4232.416229712323,431.2716852819504,10865.488053226034
2013-02-23,353.14207161254484,75703.31142035862,3027.7973644257927,234.28654441831276,9943.978801721565
2013-02-24,-2076.2990067973283,71981.54552673399,3100.991972430304,236.9459842242144,8787.752947232744
2013-02-25,-2183.7990201656553,74893.55548597407,2159.4305652408007,208.02308760389033,9195.548081635316
2013-02-26,-1033.1433056590254,78159.52705906252,1648.1365549907778,319.88453124962757,9942.20687584659
2013-02-27,-908.6706690935223,77235.73043273548,1825.2246297573536,360.9738001607187,9750.400781320144
