Dates,Balance,Consommation,Eolien,Solaire,Hydraulique
2013-01-01 00:00:00,5793.132541068134,56094.12122757607,5085.207662668035,73.16571332228501,3697.0204404528854
2013-01-01 03:00:00,7148.443095444954,51605.71179966659,3488.0297465740505,129.3579834026502,3201.363361730382
2013-01-01 06:00:00,5668.003556427912,62115.338785658554,3158.321860483092,-195.15930832732158,5537.143860006033
2013-01-01 09:00:00,5258.032352447686,67077.5293573671,2744.968342254041,1068.760172702281,7066.741993611233
2013-01-01 12:00:00,5636.557189493318,67625.55101989914,2163.0024359815898,2393.530576564416,6253.95605613786
2013-01-01 15:00:00,7330.085789999642,62784.90649029809,1584.108727154698,1242.5719743761324,5977.696890311003
2013-01-01 18:00:00,5996.205896345598,67092.80051488684,1740.2001055646936,-175.86441201077304,9408.57614513875
2013-01-01 21:00:00,5456.549621407593,62861.153483310976,2000.7860759482849,-263.39165495602924,6720.106467341127
2013-01-02 00:00:00,5504.947898893231,56923.69690179165,1657.8005453994117,85.57955959713289,6099.683000269639
2013-01-02 03:00:00,6874.439139043928,52370.62783918479,1354.8217902402362,163.5066785750749,5613.83773012962
2013-01-02 06:00:00,5434.751429294934,63220.326740227894,1373.3784299861138,-269.3702651796037,8115.641898265991
2013-01-02 09:00:00,5084.999078445633,67901.7421472062,1182.0822584167208,770.8405226370202,9971.218091864328
2013-01-02 12:00:00,5517.105006391133,68583.20638909987,1124.9618062003794,1926.816863655723,9296.600773750475
2013-01-02 15:00:00,7254.567047320517,64490.93352032932,1071.4112293957903,816.6218419998266,8779.207428467085
2013-01-02 18:00:00,5969.749173278649,68990.05762542514,1503.6299123343779,-369.09896017284274,11836.115753798165
2013-01-02 21:00:00,5480.696401016292,64496.668714874795,2007.8484857282958,-244.48341379118622,8632.386090597629
2013-01-03 00:00:00,5567.8042451060455,59171.95276012363,2045.3594147985293,188.62021960363884,7688.284382277506
2013-01-03 03:00:00,6975.346773421835,55481.16728363843,2041.1533684001406,210.83946251250998,6799.190345560172
2013-01-03 06:00:00,5595.008824580473,65937.43209688146,2092.676494021834,-398.6110580404214,9187.217425859004
2013-01-03 09:00:00,5318.254196211948,69489.77784369071,1761.3683386901785,399.01488590294406,10841.562744901148
2013-01-03 12:00:00,5810.859893038098,69738.27274646307,1493.0108126121959,1417.6726982088378,10006.011609695333
2013-01-03 15:00:00,7593.569628502773,65400.13682801819,1145.9074376267472,393.5700847239992,9463.160671533558
2013-01-03 18:00:00,6353.3828941746215,69198.62834315804,1203.9973506524345,-543.3852742647491,12200.933325598193
2013-01-03 21:00:00,5904.399741298496,64531.542345708665,1331.0504481054704,-233.77902223945642,8696.065476736825
2013-01-04 00:00:00,6013.706709583597,60008.12008697327,1082.112615952621,240.5102206034826,7469.170213518457
2013-01-04 03:00:00,7437.287573760976,56538.80785143518,946.7407157346554,201.17647795212594,6264.041951783374
2013-01-04 06:00:00,6088.960361563196,66194.34982112367,1101.5865040665713,-517.2467035994348,8321.481872797774
2013-01-04 09:00:00,5852.588405664241,69400.450930718,1076.2734499784679,159.9986830636265,9877.848270690212
2013-01-04 12:00:00,6368.357363700225,70203.89982245164,1076.241348973278,1148.230733304966,8763.911853005027
2013-01-04 15:00:00,8155.087109185736,66048.7707281448,791.5318217867311,232.29179348052665,7992.935621943345
2013-01-04 18:00:00,6914.819719174775,69660.6036223392,832.2165776861198,-532.8980172565863,10910.786614306944
2013-01-04 21:00:00,6457.877374359255,65252.456937349496,1046.3320919917107,-159.06445117259676,7844.685745487529
2013-01-05 00:00:00,6538.656640698304,60658.37567234973,945.874776514647,277.9433337644406,6668.680793168336
2013-01-05 03:00:00,7925.768320267743,55637.262736742705,874.5628981271794,201.3362651567439,5435.401474426045
2013-01-05 06:00:00,6555.732756138625,63557.28032949901,1021.99882535216,-506.45496616383025,6829.61980707034
2013-01-05 09:00:00,6305.212130877907,66471.00728114648,972.6971061245331,189.31475888047302,8608.003819257272
2013-01-05 12:00:00,6789.653062300543,67867.9952015809,937.3118680739948,1209.890568458851,8171.213366190071
2013-01-05 15:00:00,8527.011504848198,64224.90162969622,710.6516853771335,342.96523294674785,7472.507561488062
2013-01-05 18:00:00,7234.939798098602,68857.48193603975,916.7929397188817,-395.3488143565084,10786.070582828124
2013-01-05 21:00:00,6720.249756214952,65714.80948985663,1125.7199209027801,-98.6316670825661,8243.201378356891
2013-01-06 00:00:00,6725.302814570928,60926.064334652605,720.4818566979877,239.40663336669473,6843.215855171288
2013-01-06 03:00:00,8032.214426116148,54076.57951569338,388.5760515928632,161.77187398357418,5451.994983104201
2013-01-06 06:00:00,6600.6662400332725,60478.57500296637,638.6446341827724,-442.91988682261945,5668.698340292353
2013-01-06 09:00:00,6300.351598148606,62745.06329470842,852.5755995911989,351.0059958319268,6916.889988139223
2013-01-06 12:00:00,6722.6048465751,63509.36325081135,891.5970626566569,1420.857364510526,7531.89934647685
2013-01-06 15:00:00,8385.284104157583,59676.62306716638,521.8876000162044,558.3023373852367,7019.008556948183
2013-01-06 18:00:00,7021.86353485858,65689.79233083008,491.2008032774193,-216.9711480994229,10145.067818868863
2013-01-06 21:00:00,6435.509119273626,64547.315685662354,536.2898297951007,-37.84713083350738,8252.294479013815
2013-01-07 00:00:00,6356.754089083673,61090.45520287265,282.6379802456308,190.15311465184047,7023.210741713734
2013-01-07 03:00:00,7581.598624967623,55619.751763530585,348.89202521014346,105.83385090368066,5963.28134656764
2013-01-07 06:00:00,6092.808698565618,64188.184771354994,783.3887666426938,-418.8917751519331,7580.887922182222
