Dates,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Balance
2013-01-01,54467.22083333334,3668.2916666666665,49447.775,2613.7875000000004,117.33333333333334,6805.141666666667,-1388.7208333333333,719.0791666666667,7515.466666666665
2013-01-02,64491.54166666667,4691.125,55775.770833333336,1415.6250000000002,262.7708333333333,8782.166666666666,-730.5416666666666,701.1041666666666,6406.479166666666
2013-01-03,66640.91666666667,5944.291666666667,55268.5,1608.8958333333333,210.72916666666666,9143.979166666668,-717.8958333333334,726.3750000000001,5543.958333333333
2013-01-04,65237.479166666664,5312.687499999999,55943.375,1017.2708333333333,141.72916666666669,8631.25,-1009.7916666666666,749.5833333333334,5548.624999999999
2013-01-05,60142.125,3652.375,55135.45833333334,916.5,149.97916666666666,8025.083333333334,-1153.3333333333333,768.1458333333334,7352.083333333334
2013-01-06,58532.3125,3601.3749999999995,54174.52083333333,640.8541666666666,155.35416666666669,6771.895833333333,-1183.7916666666667,763.2916666666666,6391.187499999999
2013-01-07,67856.625,8113.75,56323.06249999999,465.45833333333326,165.85416666666669,9211.604166666666,-662.0416666666666,732.5625,6493.625
2013-01-08,71488.25,9709.729166666666,57187.833333333336,415.5208333333333,146.8125,10152.395833333334,-641.0208333333333,738.8541666666667,6221.875
2013-01-09,72935.77083333333,8259.375,58433.4375,455.9166666666667,139.58333333333334,10807.4375,-583.5625,746.75,5323.166666666667
2013-01-10,71608.79166666667,8034.458333333334,58183.83333333333,1172.6458333333333,139.45833333333331,9410.395833333334,-710.0208333333335,741.1666666666666,5363.145833333333
2013-01-11,70033.0,8063.3125,58316.125,1471.2708333333333,285.66666666666663,8865.3125,-901.2291666666666,778.5625,6846.020833333333
2013-01-12,65902.0625,6533.395833333334,58058.729166666664,1029.8125,185.125,7896.291666666667,-1111.2916666666665,794.4374999999999,7484.4375
2013-01-13,64631.833333333336,6080.854166666667,57794.541666666664,835.5833333333334,101.91666666666666,6726.8125,-1226.4583333333333,793.4791666666666,6474.895833333334
2013-01-14,76171.8125,9520.8125,58581.666666666664,1601.3541666666665,169.39583333333334,9373.791666666668,-673.6666666666666,756.8541666666667,3158.395833333334
2013-01-15,78425.45833333334,10429.833333333334,58606.645833333336,2123.2291666666665,168.0,10139.958333333334,-567.8124999999999,745.1666666666666,3219.5625
2013-01-16,79520.39583333333,10890.520833333332,57222.5625,845.125,122.39583333333334,10547.645833333334,-441.43749999999994,735.3958333333334,401.81250000000006
2013-01-17,83572.02083333334,11843.333333333332,57709.666666666664,880.4375,261.91666666666663,10733.833333333334,-341.6041666666667,712.9375,-1771.5
2013-01-18,85011.77083333333,12994.3125,58430.875,1526.0416666666667,101.29166666666666,10875.479166666666,-448.83333333333326,726.2291666666666,-806.375
2013-01-19,76385.39583333333,9245.479166666666,58452.64583333333,2375.0625,50.416666666666664,9233.520833333332,-711.4166666666666,733.9583333333333,2994.2708333333335
2013-01-20,72329.875,8301.875,57638.6875,1482.3958333333333,94.27083333333333,8748.854166666668,-1138.6458333333333,694.2708333333334,3491.8333333333335
2013-01-21,78206.22916666667,11216.437500000002,57430.270833333336,1750.6666666666667,192.5,10074.333333333334,-732.1666666666667,664.1458333333333,2389.9583333333335
2013-01-22,78726.06250000001,11847.541666666668,57450.854166666664,1362.4791666666665,211.83333333333331,9843.854166666666,-767.8750000000001,669.25,1891.8749999999998
2013-01-23,78189.5,12598.916666666666,57620.02083333333,789.5208333333334,141.33333333333334,9775.312499999998,-649.5833333333335,685.7291666666666,2771.7500000000005
2013-01-24,78501.5625,12759.541666666666,57779.64583333333,998.875,203.79166666666669,10060.333333333334,-643.5416666666667,706.6875,3363.770833333333
2013-01-25,81258.29166666667,12417.583333333336,58367.354166666664,1362.375,304.3541666666667,10206.854166666668,-563.2083333333333,729.1041666666667,1566.1249999999998
2013-01-26,74247.8125,9251.645833333334,58198.708333333336,1974.4999999999998,248.08333333333331,9058.3125,-612.3541666666667,741.6041666666667,4612.6875
2013-01-27,67727.1875,6603.791666666668,56778.79166666667,3517.7916666666665,148.27083333333334,7452.270833333334,-1258.5833333333335,740.7291666666666,6255.875
2013-01-28,72671.85416666667,8903.208333333334,57181.85416666667,3506.041666666667,331.99999999999994,8994.854166666666,-739.9374999999999,715.6041666666666,6221.770833333333
2013-01-29,71346.02083333334,8689.979166666666,56692.958333333336,5451.729166666666,225.52083333333331,9000.895833333334,-969.8541666666666,730.5833333333334,8475.791666666666
2013-01-30,66969.20833333333,6477.020833333333,55869.31250000001,4995.041666666667,286.625,9084.416666666666,-932.7708333333333,736.1666666666666,9546.604166666668
2013-01-31,67046.33333333334,6419.333333333332,55747.708333333336,4227.395833333333,276.18749999999994,9417.958333333334,-906.5,745.7083333333334,8881.458333333332
2013-02-01,66072.16666666667,5526.333333333333,55851.6875,3145.9375,132.66666666666666,9985.062500000002,-1046.7291666666665,771.7083333333333,8294.5
2013-02-02,63929.41666666667,4372.270833333333,55001.25,3943.5625000000005,249.14583333333334,8921.1875,-1415.729166666667,751.1666666666666,7893.437499999999
2013-02-03,65617.83333333334,5424.854166666666,54241.18750000001,2950.8333333333335,329.9166666666667,9130.958333333334,-1629.8958333333335,750.6666666666667,5580.6875
2013-02-04,70204.625,7182.583333333333,55347.375,4103.291666666667,193.54166666666669,10215.729166666668,-846.6458333333331,721.75,6713.0
2013-02-05,71619.16666666667,8042.583333333333,55064.270833333336,4760.145833333333,209.12500000000003,10768.104166666666,-836.4166666666667,727.2291666666666,7115.875
