Dates,Balance,Consommation,Eolien,Solaire,Hydraulique
2013-01-06,6066.9499994859325,62335.49411562152,1916.2591933314204,451.3882073163188,7828.142651233364
2013-01-13,6718.028559223702,69715.2376704717,1308.240728945544,369.42648670068746,9169.164076567477
2013-01-20,1432.5744228402198,74918.8171884394,1409.8544469807273,304.64293469860195,10016.568840079975
2013-01-27,3477.351726230387,75855.14582164896,2563.2149745364623,352.7844548876266,9280.495338222134
2013-02-03,7541.049229688514,72339.84264104205,3417.115376019027,411.4424306618678,9063.152278105295
2013-02-10,4992.672758815741,72770.39874677297,2675.45536085948,301.49685272411347,10450.712187377587
2013-02-17,3964.048686593119,74782.52174144372,1958.190285957626,190.17659460999562,10228.876509027468
2013-02-24,2063.790337899942,74013.0726181582,2057.3167725740177,276.0457888993208,9959.39194170917
2013-03-03,-241.44088588759857,72469.73382968079,3279.326595637466,380.40157423244864,8944.454078642999
2013-03-10,5330.968688273823,68770.6875514725,2531.3234551470305,234.56175760653485,7977.264146433236
2013-03-17,1612.6803951511097,66545.23617858927,2523.8593621980035,415.3174346506592,9127.960203505609
2013-03-24,2120.43170640734,66767.49901889452,1839.1508299706677,394.59695648838243,8530.79327365878
2013-03-31,965.9742867974621,64148.695828037744,1613.7375283375857,492.1919704164381,9091.285254332339
2013-04-07,1541.403478487932,62708.02203480968,1399.0630102569485,605.7813568947075,9358.10867515796
2013-04-14,3208.511237872877,61877.16735515575,3211.4061252073247,572.840820005122,9085.33744503743
2013-04-21,7450.8085572476875,57100.012178283665,2328.656470767112,625.3723317811099,10016.960631877964
2013-04-28,6674.350203303691,53597.09827924444,731.2093848715715,669.3045662207226,10672.907042602568
2013-05-05,5692.091879789551,49950.99862840732,1869.8249498369785,645.1542130642574,10461.532279661173
2013-05-12,10095.063645114302,45580.57545785755,1831.4853089467358,629.2575252020976,11150.44787604339
2013-05-19,8621.66161795422,47293.34286146066,1844.5807876172644,573.4753299780257,11680.214101246342
2013-05-26,6363.628857475486,48911.36633334558,2231.9023780949665,662.9451910953777,11866.209766422537
2013-06-02,7484.098336420419,46507.652088130824,1639.4792647795323,862.5422082938173,11436.947408835305
2013-06-09,10037.633704515523,46069.96422359955,1715.277660776521,788.6944726880778,11341.04694199564
2013-06-16,8511.2090982293,45276.35832483418,1798.8392774519823,756.8935381437672,10202.446999989561
2013-06-23,6707.418511183039,44244.17456554592,1538.1812875512176,716.2931185438404,9687.006423282226
2013-06-30,7243.657794498415,46242.06357733799,887.5605989681954,667.8838194543466,9359.267871056747
2013-07-07,6900.152969703653,47207.91600931385,-124.22371064674222,794.2489772896238,9188.029896570457
2013-07-14,7694.656702067063,47203.02045732734,1613.460762754564,962.042197928864,8724.181429537204
2013-07-21,6857.584201314128,47756.02088591074,1314.940238867956,839.3590292914215,8187.849523865229
2013-07-28,7576.934946859409,45909.00359693386,901.1284514453108,913.6774919881759,8235.018324818137
2013-08-04,8550.989613608694,42539.29977907575,1240.9929861119085,899.5060140160434,8091.729507925874
2013-08-11,10661.82050138401,40411.54748119615,1046.9069953820401,744.3615081728738,6892.161188233777
2013-08-18,8324.134606232472,40743.05563311685,665.6541711983876,774.95451500568,5811.1324741985045
2013-08-25,7982.232315201798,43036.16475421194,-542.2478511437965,673.7113287099562,5211.378733533323
2013-09-01,6157.864922126574,44994.47268692174,-279.04465475608686,700.3640206570468,5091.904531448822
2013-09-08,7003.1015567154,46069.634615644674,2016.0690486874703,712.9446791307561,5387.949495919732
2013-09-15,7683.666933082982,46072.87818544179,1545.605095012672,711.0456224832562,5854.21696645002
2013-09-22,6827.673682681649,45227.829787343755,1229.5609727728925,628.1140574375704,6007.350138904661
2013-09-29,6253.431772151651,44919.415841796676,704.8642299356222,510.4108417668012,5785.699583613601
2013-10-06,5466.614993561803,45182.65088305718,1334.53702505844,387.9802831723286,5785.919856166787
2013-10-13,4583.097730871462,47143.25567742073,1421.717896374958,397.21564945688283,5776.976095292489
2013-10-20,4614.007565079495,50615.85867518267,1965.2168312120398,426.34061951250834,6883.493551747837
2013-10-27,6951.973454041531,53091.31546757344,3120.9400720339504,430.69652402588696,6825.3149832146355
2013-11-03,6247.303308778547,54877.97313478398,2616.9995594880047,507.1957216580908,6844.172571522498
2013-11-10,6633.871544354076,56494.38563173601,2781.6879055846402,277.75019065207505,8791.571019195362
2013-11-17,4604.830789436584,59818.90574164246,2350.171658849408,117.5880523758534,9154.785814121064
2013-11-24,1819.8065264397796,65803.95627362578,2338.9147960594714,180.51144127810892,9065.232886087679
2013-12-01,204.63381889998473,68882.59695197533,1562.3927100278431,147.06995621167223,8587.368301168633
2013-12-08,847.6191194023478,68528.21065622212,2815.504114946291,297.84153634014854,8326.193044504644
2013-12-15,1872.4945342558965,67349.82194029025,2487.398433379132,424.58992643792783,7498.4059515293375
2013-12-22,5661.70131174041,63944.781305780256,3500.1030268411587,347.07958800010215,7053.230988111538
2013-12-29,6391.421602410004,62993.45986368624,3836.6770592161315,359.2320702002322,7203.62270711473
2014-01-05,7056.293872040121,65124.25100224609,3989.962090374006,278.65196174659405,8289.767157494945
2014-01-12,9237.004645115203,65079.58712173442,2627.633605154153,179.93304238698488,9002.744417006592
2014-01-19,9412.51508765711,66885.41021013804,2198.046052108816,76.79981057449558,9144.471463979095
2014-01-26,6946.115291807407,69153.49654441068,1468.04268457195,180.42386935136696,9909.20951169143
2014-02-02,5595.700512435154,67270.65170151886,2451.9267007341878,217.06964291188297,9967.744611764927
2014-02-09,6771.599351373525,66709.31461826696,5004.031719119302,310.2362440881855,10101.55186210801
