Dates,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Balance
2013-01-06,61585.26597222222,4478.357638888889,54290.899999999994,1368.822222222222,172.98263888888889,8026.586111111113,-1030.6791666666666,737.9298611111112,6459.633333333332
2013-01-13,69208.04761904762,7827.839285714285,57756.794642857145,835.172619047619,166.3452380952381,9010.035714285714,-833.6607142857141,760.8303571428571,6315.309523809524
2013-01-20,78773.81845238095,10460.88095238095,58091.82142857142,1547.6636904761906,138.24107142857142,9950.440476190477,-617.6309523809523,729.2589285714286,1526.8571428571431
2013-01-27,76693.80654761905,10956.49404761905,57660.806547619046,1679.4583333333333,207.16666666666666,9495.895833333332,-746.7589285714286,705.3214285714287,3264.577380952381
2013-02-03,67664.69047619049,6544.714285714285,55797.99404761905,4031.505952380952,261.7232142857143,9219.333333333334,-1091.6309523809523,743.0863095238095,7842.035714285715
2013-02-10,72930.51190476192,8649.767857142857,55118.61011904762,3010.5119047619046,235.01190476190476,10461.511904761905,-730.2916666666667,736.6220238095237,4551.232142857142
2013-02-17,72654.14285714286,9163.824404761905,55877.854166666664,1198.6190476190475,325.6845238095238,10093.205357142857,-647.5238095238097,724.7113095238094,4082.2321428571427
2013-02-24,75153.15476190475,10583.148809523811,53954.669642857145,2249.160714285714,453.7172619047619,9996.708333333332,-567.2886904761905,725.6726190476192,2242.6339285714284
2013-03-03,75109.87202380951,11513.026785714288,52118.13690476191,1306.2529761904764,388.2619047619047,9154.8125,-664.0029761904761,724.095238095238,-569.2886904761905
2013-03-10,61684.488095238084,6917.404761904762,50417.139880952374,1699.4999999999998,401.0773809523809,7663.883928571429,-892.5327380952382,708.8630952380953,5230.848214285715
2013-03-17,70749.56845238096,9363.348214285714,51121.35119047619,2650.8928571428573,419.53273809523813,8854.369047619048,-810.0773809523808,687.1517857142857,1537.0
2013-03-24,64836.324404761894,7932.735119047618,48361.9375,1927.7738095238092,480.75892857142856,8698.32142857143,-769.9910714285714,737.0059523809524,2532.217261904762
2013-03-31,65696.61607142857,8950.687500000002,47263.77976190477,1192.440476190476,491.75,9173.36011904762,-720.4523809523808,729.2202380952382,1384.169642857143
2013-04-07,64354.50595238095,6658.720238095238,46978.22321428572,2440.160714285714,520.6071428571429,9261.63988095238,-822.8630952380952,581.6934523809524,1263.6755952380952
2013-04-14,57823.03571428572,5297.967261904762,43509.60119047619,2911.9791666666665,584.4404761904761,9318.11607142857,-700.889880952381,559.3988095238095,3657.577380952381
2013-04-21,49824.09821428572,2432.488095238096,41870.01488095238,1880.4404761904764,675.1398809523808,10132.425595238095,-719.0982142857141,577.2916666666666,7024.604166666666
2013-04-28,50880.2619047619,2637.8244047619046,42915.75595238095,1025.6130952380952,599.5386904761905,10568.395833333332,-829.547619047619,620.6428571428571,6657.961309523809
2013-05-05,50182.75297619047,2347.6339285714284,41183.9255952381,1359.529761904762,615.3005952380953,10568.583333333334,-1094.955357142857,655.9761904761906,5453.241071428572
2013-05-12,44291.63690476191,1286.404761904762,40273.32142857143,1737.3809523809525,704.0595238095239,11093.702380952383,-998.092261904762,668.6517857142857,10473.791666666668
2013-05-19,50066.35119047619,1826.6636904761906,43493.05654761905,1509.619047619048,587.952380952381,11456.598214285714,-849.6934523809524,656.7261904761905,8614.571428571428
2013-05-26,51786.910714285725,2402.3511904761904,41899.96130952381,1725.5773809523812,654.5625,11726.976190476193,-861.5208333333333,646.8690476190476,6407.866071428572
2013-06-02,50306.28869047619,2118.910714285714,41130.66071428572,1772.0119047619046,674.657738095238,11685.044642857143,-769.702380952381,655.9970238095237,6961.291666666666
2013-06-09,46100.01488095238,1397.797619047619,41659.419642857145,1620.9285714285718,835.1071428571429,11027.812499999998,-927.1279761904763,616.7232142857143,10130.645833333334
2013-06-16,45488.87797619047,1301.4553571428569,40320.27083333333,1332.139880952381,769.875,10422.63392857143,-800.9196428571429,631.5773809523808,8488.154761904761
2013-06-23,45837.52380952381,1948.279761904762,38170.229166666664,1994.065476190476,644.6488095238095,9845.589285714286,-793.8839285714286,624.6517857142857,6596.056547619048
2013-06-30,45581.50297619047,1946.4345238095236,39350.55357142857,1195.157738095238,771.8154761904761,9365.017857142857,-744.9226190476192,694.1130952380952,6996.666666666667
2013-07-07,45865.083333333336,1795.8839285714287,40356.818452380954,1057.1845238095236,837.982142857143,9387.151785714286,-772.7321428571429,705.2410714285714,7502.446428571428
2013-07-14,46638.3125,1949.2142857142858,40896.80059523809,1612.9761904761906,944.8095238095239,8476.434523809523,-593.657738095238,719.1785714285716,7367.443452380952
2013-07-21,46821.91666666667,2071.651785714286,42077.255952380954,992.6011904761905,870.4791666666666,8107.839285714287,-807.0238095238095,725.0357142857143,7215.922619047618
