;YYMM;Région;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Balance
344;1505;NlleA;5850052.0;27579.0;4157224.0;135788.0;388399.0;794455.0;0.0;237205.0;-109402.0
345;1505;O;4949291.0;-4948.0;3279926.0;469778.0;363893.0;2346687.0;-444103.0;97280.0;1159222.0
346;1505;PACA;5690646.0;254875.0;0.0;22430.0;279417.0;1727369.0;-1.0;98953.0;-3307603.0
347;1505;PDL;3731524.0;21195.0;0.0;178750.0;97891.0;3925.0;0.0;50121.0;-3379642.0
348;1506;AURA;9611862.0;91285.0;14392284.0;88632.0;202591.0;5186158.0;-632528.0;117625.0;9834185.0
349;1506;B;2897198.0;4318.0;0.0;194516.0;54475.0;90718.0;-10446.0;49611.0;-2514006.0
350;1506;BFC;3043359.0;38753.0;0.0;69451.0;57322.0;52531.0;-5588.0;26319.0;-2804571.0
351;1506;CVDL;2651087.0;1489.0;12650464.0;233525.0;65964.0;5424.0;0.0;62233.0;10368012.0
352;1506;GE;6564202.0;110839.0;12926867.0;615971.0;131645.0;1870418.0;-227540.0;90386.0;8954384.0
353;1506;HF;7312902.0;393055.0;6076289.0;631758.0;38022.0;1804.0;0.0;154893.0;-17081.0
354;1506;IDF;9793561.0;21220.0;0.0;4445.0;21413.0;12034.0;0.0;149085.0;-9585364.0
355;1506;N;3874988.0;356616.0;7882957.0;146165.0;35767.0;20205.0;0.0;65025.0;4631747.0
356;1506;NlleA;5919890.0;26778.0;4043406.0;92328.0;470749.0;384472.0;0.0;241117.0;-661040.0
357;1506;O;5061659.0;-4741.0;3401661.0;274605.0;396066.0;1837020.0;-395524.0;90418.0;537846.0
358;1506;PACA;5764534.0;316150.0;0.0;13195.0;279283.0;1758861.0;0.0;100311.0;-3296734.0
359;1506;PDL;3607182.0;14202.0;0.0;143879.0;117275.0;1382.0;0.0;51778.0;-3278666.0
360;1507;AURA;10145846.0;234025.0;14795140.0;114256.0;212869.0;3886623.0;-460531.0;140212.0;8776748.0
361;1507;B;2970508.0;3383.0;0.0;179279.0;45943.0;83426.0;-9592.0;54554.0;-2613515.0
362;1507;BFC;3110484.0;37362.0;0.0;85780.0;59006.0;38177.0;-3199.0;30785.0;-2862573.0
363;1507;CVDL;2683303.0;1520.0;11071903.0;240580.0;60906.0;214.0;0.0;72017.0;8763837.0
364;1507;GE;6598209.0;704679.0;16655715.0;676741.0;136554.0;1388538.0;-225422.0;91217.0;12829813.0
365;1507;HF;7236411.0;464410.0;6404012.0;695213.0;31792.0;1295.0;0.0;156512.0;516823.0
366;1507;IDF;9822600.0;25640.0;0.0;5245.0;19610.0;7086.0;0.0;154214.0;-9610805.0
367;1507;N;3872389.0;349238.0;9485185.0;150626.0;29812.0;16098.0;0.0;73479.0;6232049.0
368;1507;NlleA;6540618.0;59622.0;4818176.0;107716.0;455428.0;157484.0;0.0;247137.0;-695055.0
369;1507;O;5751276.0;-5080.0;3256232.0;378406.0;393916.0;1294284.0;-356377.0;125292.0;-664603.0
370;1507;PACA;6807529.0;618981.0;0.0;13884.0;298717.0;1165444.0;0.0;112480.0;-4598023.0
371;1507;PDL;3784548.0;31578.0;0.0;147289.0;107215.0;46.0;0.0;47345.0;-3451075.0
372;1508;AURA;8881103.0;82813.0;15686416.0;110681.0;183304.0;3179247.0;-433926.0;137076.0;10064508.0
373;1508;B;2872064.0;896.0;0.0;166421.0;40130.0;97051.0;-10211.0;56818.0;-2520959.0
374;1508;BFC;2714428.0;35298.0;0.0;76165.0;52261.0;35334.0;-8743.0;31297.0;-2492816.0
375;1508;CVDL;2387579.0;1496.0;11430442.0;202284.0;54772.0;351.0;0.0;76275.0;9378041.0
376;1508;GE;5976224.0;81298.0;15781225.0;586499.0;121693.0;1110988.0;-218886.0;90016.0;11576609.0
377;1508;HF;6587879.0;450046.0;4832374.0;464082.0;29874.0;532.0;0.0;154790.0;-656181.0
378;1508;IDF;8886700.0;6741.0;0.0;6631.0;17481.0;8070.0;0.0;182079.0;-8665698.0
379;1508;N;3601156.0;390383.0;8830144.0;109530.0;27752.0;16561.0;0.0;71753.0;5844967.0
380;1508;NlleA;5881388.0;36338.0;5928166.0;93951.0;412084.0;128538.0;0.0;223147.0;940836.0
381;1508;O;5081520.0;-5528.0;1442968.0;309831.0;362950.0;1076806.0;-347631.0;134091.0;-2108033.0
382;1508;PACA;6354862.0;188571.0;0.0;10446.0;268547.0;1160151.0;0.0;124177.0;-4602970.0
383;1508;PDL;3466368.0;229220.0;0.0;113505.0;95273.0;385.0;0.0;49602.0;-2978383.0
