Dates;Consommation;Conso_p_sinus;Err_sinus;Conso_p_exog;Err_exog;Conso_p_filter;Err_exog_filter;Conso_p_reduit_noreg;Err_filter_noreg;Conso_p_reduit;Err_filter_exog_filter;Conso_p_LinReg;Err_LinReg;Conso_p_LinReg_filter;Err_LinReg_filter
2020-01-01 00:00:00;64522.66666666666;56575.46241718674;7947.204249479917;57857.91952635286;6664.747140313797;57117.521454367554;7405.145212299103;55910.86310943568;8611.803557230975;55382.54981180698;9140.116854859676;66968.06719483153;2445.4005281648715;66198.00255390578;1675.3358872391254
2020-01-01 03:00:00;58071.5;50293.62357031913;7777.876429680873;51303.51416611613;6767.985833883868;50968.17282412578;7103.327175874219;50916.15199705964;7155.348002940358;51417.11860610816;6654.381393891839;66913.7831355096;8842.283135509599;66147.09256019755;8075.592560197547
2020-01-01 06:00:00;56746.16666666666;49444.29539514119;7301.871271525466;48891.9575064412;7854.209160225459;49995.56144520526;6750.605221461396;63065.389156398036;6319.222489731379;62355.79745633121;5609.630789664552;67308.62664875304;10562.45998208638;66517.39428460898;9771.22761794232
2020-01-01 09:00:00;58496.33333333334;52328.86070679849;6167.472626534851;51152.62649952024;7343.706833813107;52548.28208711224;5948.0512462211045;67388.97962218999;8892.646288856646;68786.90440506466;10290.57107173132;65966.00982621766;7469.676492884319;65258.22879769338;6761.895464360037
2020-01-01 12:00:00;62197.66666666666;56820.25006691312;5377.416599753538;54619.65006224599;7578.0166044206635;54853.4044429495;7344.26222371716;67441.21066254709;5243.5439958804345;67787.05226825937;5589.385601592716;63035.68322259456;838.0165559279048;62510.038798327005;312.3721316603478
2020-01-01 15:00:00;59034.83333333334;53194.21207512738;5840.62125820596;51368.43624140488;7666.397091928462;50913.78358627859;8121.049747054756;62015.335413227855;2980.5020798945116;61299.920719510556;2265.0873861772125;62195.548414400044;3160.715081066701;61722.12318675488;2687.2898534215346
2020-01-01 18:00:00;64632.16666666666;60453.5055800304;4178.6610866362535;59279.54851895086;5352.618147715795;58845.03303326947;5787.133633397185;67331.00109674755;2698.8344300808967;65655.04641839748;1022.8797517308267;63951.35333512265;680.8133315440064;63368.79476186261;1263.3719048040439
2020-01-01 21:00:00;62587.5;58015.78554141646;4571.714458583541;59082.91325092165;3504.5867490783494;58690.476495144205;3897.023504855795;62159.432184723475;428.0678152765249;62351.36791473674;236.13208526326343;64410.25830075561;1822.7583007556095;63799.17615199597;1211.6761519959691
2020-01-02 00:00:00;59912.33333333334;55473.26646756716;4439.066865766181;56608.659157158705;3303.674176174638;56447.577703496;3464.7556298373456;56052.71922389659;3859.614109436756;56687.63860261206;3224.694730721283;64342.41724695224;4430.083913618895;63735.551808764605;3823.218475431262
2020-01-02 03:00:00;55404.5;52078.89392650156;3325.606073498442;52926.9680040555;2477.531995944497;52645.54238958178;2758.9576104182197;51671.05624190487;3733.443758095127;52234.215080747985;3170.2849192520152;64152.981394547256;8748.481394547256;63557.89048102827;8153.390481028269
2020-01-02 06:00:00;62518.66666666666;62785.9850014746;267.3183348079401;61804.62812861608;714.0385380505759;62166.88062313994;351.7860435267139;64204.40614103487;1685.7394743682162;63469.86372076932;951.1970541026603;64434.71928045579;1916.0526137891356;63822.11674152058;1303.4500748539213
2020-01-02 09:00:00;69303.66666666669;70913.14728017613;1609.4806135094404;71064.607694209;1760.9410275423143;70788.19723295131;1484.5305662846222;68178.78902288327;1124.8776437834167;69695.2706395759;391.6039729092154;62993.794855888744;6309.871810777942;62470.75403384772;6832.912632818967
2020-01-02 12:00:00;70808.66666666669;71197.70335888067;389.03669221398013;70288.88870244932;519.77796421737;70161.89980867796;646.766857988725;68410.31522887043;2398.3514377962565;68822.05643437814;1986.6102322885417;60004.08647374423;10804.580192922454;59666.87317405801;11141.793492608675
