;Err_exog;Err_noreg;Err_LinReg
count;96.0;96.0;96.0
mean;1372.1880428429497;1381.2898391536185;1572.717858776332
std;895.9742599196925;891.8817319694253;1096.6198689619869
min;29.709580018803997;65.72015000407119;22.287362908458572
25%;758.1832608788609;755.3338093165826;611.3778745005944
50%;1159.4695968772503;1122.0729991928051;1458.756886617049
75%;1862.5058909041793;1916.7715731729786;2379.2978814695202
max;3819.7111122972215;3700.1781234447894;4986.406958986656
