Dates;Solaire;Capa_sol;TCH_sol;Sol_p_exog;Err_exog;Sol_p_noreg;Err_noreg;Sol_p_LinReg;Err_LinReg
2020-01-05;627.1607142857142;9417.57142857143;0.06659473931708204;657.5068420123122;30.346127726597885;441.21396886807287;185.9467454176414;577.7332771774339;49.42743710828035
2020-01-12;651.3511904761905;9434.142857142857;0.06904190453116088;626.0298403489169;25.32135012727359;430.99449677049836;220.35669370569212;611.9667905126822;39.384399963508194
2020-01-19;681.7738095238095;9450.0;0.07214537666918619;605.5723562948791;76.20145322893033;375.76129644030107;306.0125130835084;659.7571010506186;22.01670847319082
2020-01-26;598.8541666666667;9465.857142857143;0.06326465291297546;690.5898164019878;91.73564973532109;473.2136830001561;125.64048366651065;717.1624550935862;118.30828842691945
2020-02-02;575.0565476190476;9481.142857142857;0.060652661423175824;814.3711957183405;239.3146480992929;622.4492083558386;47.39266073679097;784.6342359405653;209.5776883215177
2020-02-09;1032.720238095238;9497.142857142857;0.10874009727236261;831.117131489962;201.60310660527597;618.1795911551877;414.5406469400503;858.2583224371534;174.46191565808465
2020-02-16;930.514880952381;9512.142857142857;0.0978238967735476;942.3799247649063;11.865043812525329;753.5477117745229;176.96716917785804;937.0065095416409;6.491628589259964
2020-02-23;1221.297619047619;9528.57142857143;0.12817216391804095;1167.326266584961;53.97135246265789;1046.6006641905453;174.69695485707362;1020.2314605643013;201.06615848331765
2020-03-01;905.6547619047618;9544.714285714286;0.09488547637934731;1179.3526122186631;273.6978503139014;1032.6487748355119;126.99401293075007;1106.4296046929567;200.77484278819492
2020-03-08;842.1666666666669;9559.857142857143;0.08809406396788158;1172.0781085909482;329.91144192428146;1001.573434611669;159.40676794500212;1192.3338446783584;350.1671780116916
2020-03-15;1313.919642857143;9574.857142857143;0.13722603097397948;1217.3225778143246;96.59706504281844;1041.7587230820554;272.1609197750876;1279.8523113796543;34.06733147748866
2020-03-22;1502.1636904761906;9591.714285714286;0.15661055424821027;1317.3901528652495;184.77353761094122;1160.3422326435107;341.82145783268004;1369.7294806886196;132.4342097875711
2020-03-29;1730.7172619047624;9607.0;0.18015168750960367;1381.5008199385495;349.2164419662129;1225.7065045032377;505.0107574015247;1457.8474744319785;272.8697874727839
2020-04-05;1894.1755952380954;9622.42857142857;0.19685005517862536;1436.6872185303876;457.48837670770786;1281.7942578335187;612.3813374045766;1546.7197234065436;347.45587183155175
2020-04-12;1968.1130952380954;9638.714285714286;0.2041883426459763;1543.5391077087029;424.57398752939247;1411.8778264411885;556.2352687969068;1635.0977238855594;333.0153713525361
2020-04-19;1687.133928571429;9653.57142857143;0.174767850536441;1701.7595606571792;14.625632085750464;1615.261239336043;71.8726892353859;1721.6732055743812;34.53927700295231
2020-04-26;1470.514880952381;9669.42857142857;0.15207877798461525;1676.5357941138411;206.0209131614601;1554.1901581156114;83.67527716323053;1807.3142504969765;336.79936954459555
2020-05-03;1418.4970238095239;9685.57142857143;0.14645465518173817;1661.1192852338572;242.6222614243334;1519.5618470991417;101.06482328961776;1889.1351973018113;470.6381734922874
2020-05-10;1940.1577380952388;9701.857142857143;0.19997797427100364;1784.5921241852482;155.56561390999036;1681.3651693790466;258.79256871619197;1967.0933168508639;26.93557875562525
2020-05-17;1649.955357142857;9716.0;0.16981837763924013;1703.6959967031264;53.740639560269344;1549.965774974592;99.98958216826504;2039.7663369806078;389.8109798377507
2020-05-24;2324.2440476190477;9732.57142857143;0.2388108902849538;1718.90678210478;605.3372655142678;1571.1068568924609;753.1371907265868;2105.29757756027;218.94647005877795
2020-05-31;2551.702380952381;9748.42857142857;0.26175525237278785;1780.8444799685562;770.8579009838251;1654.4000479058072;897.3023330465741;2160.676781526197;391.0255994261841
2020-06-07;1852.7142857142856;9763.57142857143;0.1897578462213768;1977.233835822913;124.51955010862743;1939.4975596582217;86.78327394393598;2205.842733708399;353.12844799411346
2020-06-14;1762.4166666666665;9779.857142857143;0.180208835458693;1984.566973633837;222.1503069671706;1949.901799772076;187.48513310540943;2237.441679246957;475.02501258029037
2020-06-21;2092.3541666666665;9795.0;0.2136145142079292;1788.5469868822827;303.8071797843838;1684.491210549672;407.8629561169947;2253.489336884315;161.1351702176482
2020-06-28;2283.982142857143;9810.857142857143;0.23280148814724214;1853.2214647627436;430.7606780943995;1800.7767641948246;483.2053786623183;2255.737110696235;28.24503216090806
2020-07-05;2054.6309523809523;9827.0;0.20908018239350282;1988.4990112457976;66.1319411351546;2007.4646883905966;47.16626399035545;2241.6810787581094;187.050126377157
2020-07-12;2468.098214285714;9843.142857142857;0.2507429029636295;2134.5459210586655;333.5522932270486;2236.037582208393;232.06063207732146;2213.0482099539668;255.05000433174737
2020-07-19;2145.657738095238;9858.0;0.21765649605348328;2089.1970996326413;56.46063846259692;2189.085414897491;43.42767680225285;2171.3602990744744;25.702560979236207
2020-07-26;2262.395833333333;9873.714285714286;0.22913320842255527;1949.9535606439745;312.4422726893586;2016.6237791689236;245.7720541644094;2117.9767423803255;144.41909095300772
2020-08-02;2173.598214285714;9889.57142857143;0.21978689673104423;1962.4274112355388;211.17080305017566;2061.302086341001;112.29612794471325;2056.442774786481;117.15543949923328
2020-08-09;2369.559523809524;9905.42857142857;0.23921827377003474;1825.134477448165;544.425046361359;1885.4724350903696;484.0870887191543;1989.044956711365;380.51456709815875
2020-08-16;1838.797619047619;9921.0;0.18534397934156022;1875.8938939131428;37.09627486552392;1987.8666299054464;149.0690108578276;1913.812788721407;75.01516967378814
2020-08-23;1966.6607142857144;9937.142857142857;0.19791007763082233;1803.249180782859;163.41153350285538;1902.3631385277522;64.29757575796219;1835.1306932843095;131.53002100140495
2020-08-30;1787.5238095238094;9952.142857142857;0.17961195243905356;1728.7079496664624;58.81585985734708;1824.1188437675828;36.59503424377332;1754.5606228927422;32.9631866310672
2020-09-06;2082.083333333333;9967.714285714286;0.2088827261348544;1697.1549472371892;384.92838609614387;1801.384028818348;280.69930451498493;1671.463964063878;410.61936926945504
2020-09-13;1977.419642857143;9984.142857142857;0.1980560245532201;1461.1215407228444;516.2981021342983;1487.2496184144738;490.170024442669;1586.335268591575;391.0843742655679
2020-09-20;1642.5416666666665;10000.142857142857;0.1642518202120922;1374.0329316228654;268.5087350438011;1394.4576582345926;248.08400843207383;1500.3772252720526;142.1644413946139
2020-09-27;1141.4434523809525;10014.714285714286;0.11397663675829375;1379.5671125206313;238.12366013967892;1423.6350743968353;282.1916220158828;1413.4577905931112;272.0143382121588
2020-10-04;1063.9494047619048;10030.714285714286;0.10606915663794536;1195.1663130494524;131.2169082875476;1181.9375715300393;117.98816676813449;1326.4679732640884;262.51856850218365
2020-10-11;1124.9583333333335;10046.57142857143;0.11197435277611885;1114.3741272069753;10.584206126358165;1095.8673453112617;29.090988022071908;1239.653832953201;114.69549961986729
2020-10-18;1196.1934523809525;10061.857142857143;0.11888396300976342;1017.8301911898163;178.36326119113613;978.1848286528962;218.00862372805628;1153.9298045138548;42.263647867097625
2020-10-25;833.8839285714287;10078.42857142857;0.08273947894371289;946.1685472914955;112.2846187200669;899.9786143568817;66.09468578545314;1067.5963089040217;233.71238033259314
2020-11-01;969.6696428571428;10093.285714285714;0.09607076132648294;929.0046557263471;40.66498713079563;894.7557093321778;74.91393352496486;985.608465487611;15.93882263046832
2020-11-08;889.8035714285713;10109.142857142857;0.08801968515064156;753.1412065429056;136.6623648856657;659.4119956881357;230.3915757404356;905.8689595183747;16.065388089803484
2020-11-15;867.1755952380953;10125.0;0.0856469723691946;705.9407706133217;161.23482462477364;613.1460165263749;254.0295787117204;831.1736692009669;36.00192603712843
2020-11-22;1017.7916666666667;10141.42857142857;0.1003597924590318;596.2956696689896;421.4959969976772;463.4399039484517;554.351762718215;763.0379949693704;254.75367169729637
2020-11-29;853.2916666666665;10156.285714285714;0.08401611481512739;701.6253690988812;151.6662975677854;626.1390465162646;227.15262015040196;703.751232502536;149.54043416413057
2020-12-06;519.0833333333334;10172.142857142857;0.05102989022306487;794.9647965820883;275.8814632487549;756.0021271678607;236.9187938345274;656.9348640393544;137.85153070602092
2020-12-13;468.8660714285714;10187.714285714286;0.04602269540342709;830.2222988791212;361.35622745054985;804.4251476956852;335.55907626711377;623.5245045964151;154.65843316784373
2020-12-20;470.8363095238097;10203.285714285714;0.04614555768683293;727.3676619059951;256.5313523821854;646.9162593476535;176.07994982384383;606.5150255159497;135.67871599213993
2020-12-27;450.7321428571428;10219.857142857143;0.04410356588713848;624.0540793070596;173.32193644991688;502.9789261997827;52.246783342639866;606.0412979262833;155.30915506914053
2021-01-03;461.24702380952385;10240.0;0.045043654668898814;631.6071150715219;170.360091261998;481.7819405778138;20.534916768289975;623.8012570306995;162.55423322117565
2021-01-10;556.1071428571429;10286.57142857143;0.05406146709996389;676.7516152732088;120.64447241606595;523.3242326815559;32.78291017558699;659.9199393837785;103.8127965266356
2021-01-17;589.8214285714286;10338.0;0.05705372688831772;723.9592345228357;134.13780595140716;551.7059032001722;38.11552537125639;710.440018214978;120.61858964354941
