Dates;Solaire;Capa_sol;TCH_sol;Sol_p_sinus;Err_sinus;Sol_p_exog;Err_exog;Sol_p_filter;Err_exog_filter;Sol_p_reduit_noreg;Err_filter_noreg;Sol_p_reduit;Err_filter_exog_filter;Sol_p_LinReg;Err_LinReg;Sol_p_LinReg_filter;Err_LinReg_filter
2020-01-01;485.39583333333337;9414;0.05156106153955103;273.29874457050033;212.09708876283304;510.4177577464135;25.021924413080132;510.4177577464135;25.021924413080132;468.20061374415457;17.195219589178794;618.2818463501459;132.88601301681248;574.1898494532909;88.79401611995756;574.1401716096764;88.74433827634299
2020-01-02;472.33333333333326;9418;0.050152190840235006;570.3657481017243;98.03241476839102;735.1313591124052;262.7980257790719;735.1313591124052;262.7980257790719;531.9641897914988;59.63085645816556;667.9323387931462;195.5990054598129;577.5670518027725;105.23371846943927;577.5174710034888;105.18413767015556
2020-01-03;381.6875;9418;0.04052744744107029;543.4410528803381;161.7535528803381;676.4447993570274;294.75729935702736;676.4447993570274;294.75729935702736;630.7474911218333;249.0599911218332;744.0695055906752;362.3820055906752;580.7002814097631;199.0127814097631;580.6508187628807;198.96331876288065
2020-01-04;604.8333333333333;9423;0.06418691853266828;378.79417331436053;226.03916001897264;555.2145758159609;49.61875751737228;555.2145758159609;49.61875751737228;507.96605808500163;96.8672752483316;629.7500505607728;24.916717227439623;587.2783602566938;17.554973076639413;587.229107780434;17.604225552899187
2020-01-05;798.0208333333333;9424;0.08467963002263723;359.09818719164696;438.9226461416863;559.805860855716;238.21497247761727;559.805860855716;238.21497247761727;397.7073653624607;400.31346797087264;559.6099246315853;238.41090870174804;593.6111356201664;204.40969771316693;593.5621143724178;204.45871896091543
2020-01-06;760.5625;9427;0.0806791662246738;374.34605564355;386.21644435645;571.1732170513416;189.3892829486584;571.1732170513416;189.3892829486584;262.7220680041816;497.8404319958183;460.155646974864;300.406853025136;596.9363272855529;163.62617271444702;596.8874086978784;163.67509130212153
2020-01-07;415.54166666666674;9429;0.044070597801110056;398.2855767227016;17.256089943965158;588.3467308840414;172.8050642173747;588.3467308840414;172.8050642173747;373.194110266481;42.34755640018571;567.2440740089115;151.7024073422448;600.1998603948331;184.65819372816642;600.1510497191595;184.60938305249277
2020-01-08;595.6666666666666;9431;0.06316049906337257;366.08738290733714;229.57928375932954;561.4463003027104;34.22036636395629;561.4463003027104;34.22036636395629;198.34555818498214;397.3211084816845;406.6372935588989;189.0293731077678;606.6022787602145;10.935612093547865;606.5536943622145;10.887027695547811
2020-01-09;686.5833333333333;9433;0.07278525742959115;341.86992284671135;344.71341048662197;547.875080594714;138.70825273861936;547.875080594714;138.70825273861936;244.51264573241752;442.07068760091573;473.27719983960804;213.3061334937252;613.0073586075293;73.57597472580397;612.9590005875659;73.62433274576739
2020-01-10;440.29166666666674;9437;0.046655893468969666;338.11081116352074;102.18085550314602;547.7761430105032;107.48447634383655;547.7761430105032;107.48447634383655;440.2506651619674;0.041001504699346776;625.625981229535;185.33431456286831;619.5464014947937;179.254734828127;619.4982597504658;179.206593083799
2020-01-11;863.8541666666665;9440;0.09150997528248586;629.5298452461749;234.3243214204916;786.7635351008822;77.09063156578434;786.7635351008822;77.09063156578434;724.5814419807631;139.27272468590346;838.5682656646518;25.28590100201474;622.8839025141264;240.9702641525402;622.8358638940512;241.01830277261533
2020-01-12;796.9583333333335;9442;0.08440566970274661;506.57289713723287;290.38543619610067;648.1939914545092;148.7643418788244;648.1939914545092;148.7643418788244;615.268060234958;181.69027309837549;715.212339208609;81.74599412472452;632.4395116010035;164.51882173233008;632.3918181637263;164.56651516960721
2020-01-13;653.4791666666666;9443;0.06920249567580923;288.253833798847;365.2253328678196;499.72218389910336;153.7569827675632;499.72218389910336;153.7569827675632;213.13351624540135;440.3456504212652;405.76017246461885;247.71899420204772;638.7895865970486;14.689580069618005;638.7421250406425;14.737041626024059
2020-01-14;621.3125000000001;9446;0.0657751958500953;378.9344804796843;242.37801952031583;595.7929167454446;25.519583254555606;595.7929167454446;25.519583254555606;480.100201918636;141.21229808136414;677.6288215502163;56.31632155021619;645.2776168559429;23.965116855942835;645.2303772285514;23.91787722855125
2020-01-15;529.5;9446;0.05605547321617616;411.8041675348312;117.69583246516882;605.3779855517932;75.87798555179326;605.3779855517932;75.87798555179326;364.50409831606333;164.9959016839367;537.1288149747651;7.628814974765057;651.5627064434627;122.0627064434627;651.5157038234153;122.01570382341522
