Dates;Eolien;Capa_eol;TCH_eol;Eol_p_sinus;Err_sinus;Eol_p_exog;Err_exog;Eol_p_filter;Err_exog_filter;Eol_p_reduit_noreg;Err_filter_noreg;Eol_p_reduit;Err_filter_exog_filter;Eol_p_LinReg;Err_LinReg;Eol_p_LinReg_filter;Err_LinReg_filter
2020-01-01 00:00:00;3187.5;16494;0.19325209166969806;8569.837037994048;5382.337037994048;7975.470059597973;4787.970059597974;8297.685379101944;5110.185379101945;10971.054850479075;7783.554850479075;10619.575819802305;7432.075819802307;3027.765655593828;159.73434440617174;3027.9939716796794;159.50602832032027
2020-01-01 03:00:00;2752.666666666666;16494;0.1668889697263651;7048.416179871755;4295.749513205088;7737.832395824563;4985.165729157897;7232.779024462251;4480.112357795586;4932.693931214275;2180.027264547609;5437.656079405081;2684.9894127384155;3178.13582106692;425.4691544002542;3178.142543867691;425.47587720102507
2020-01-01 06:00:00;2176.833333333333;16494;0.1319772846691726;7028.067941110224;4851.234607776891;6293.654118167417;4116.820784834085;6981.615010154614;4804.78167682128;8801.41647486333;6624.583141529997;7422.913121840415;5246.079788507082;3476.931638854151;1300.0983055208183;3476.58314316205;1299.749809828717
2020-01-01 09:00:00;1578.833333333333;16494;0.0957216765692575;5286.433926745661;3707.6005934123277;6564.6790360220575;4985.8457026887245;5793.453927879794;4214.620594546461;6255.433214416224;4676.5998810828905;5859.742190340993;4280.90885700766;3700.630326711656;2121.7969933783224;3700.745273649142;2121.9119403158084
2020-01-01 12:00:00;1036.1666666666667;16494;0.06282082373388304;4572.897995092008;3536.731328425342;3483.8720248855216;2447.705358218855;3558.4400438590565;2522.27337719239;4508.781664073497;3472.6149974068303;3305.7535644515497;2269.586897784883;4677.235793834264;3641.0691271675973;4677.864370006236;3641.6977033395688
2020-01-01 15:00:00;871.1666666666665;16494;0.052817186047451586;2580.4476586560504;1709.2809919893841;3749.241620698759;2878.0749540320926;2815.6996970966793;1944.533030430013;2984.1084919404398;2112.9418252737732;3678.970764043269;2807.8040973766024;4384.42026662319;3513.2535999565243;4384.126964861141;3512.960298194474
2020-01-01 18:00:00;1162.1666666666667;16494;0.07045996523988522;4279.990553991496;3117.823887324829;4528.796845878876;3366.630179212209;4583.628261967346;3421.4615953006787;4425.529897041628;3263.3632303749614;4772.637651913761;3610.4709852470937;3972.992768105429;2810.8261014387617;3971.5832172771998;2809.416550610533
2020-01-01 21:00:00;1236.1666666666667;16494;0.07494644517198173;4142.522887009049;2906.3562203423817;5020.646589072781;3784.4799224061144;3922.2639363197654;2686.097269653099;4145.941463863158;2909.774797196491;4233.783907102549;2997.6172404358826;4184.351503909529;2948.1848372428626;4183.028100676476;2946.8614340098097
2020-01-02 00:00:00;1373.3333333333333;16497;0.08324745913398396;3380.0595711693504;2006.726237836017;4178.055288460867;2804.7219551275334;3536.1421012547935;2162.80876792146;2567.8575774286837;1194.5242440953505;2789.7110453200853;1416.377711986752;4303.909753301973;2930.57641996864;4303.203125246244;2929.86979191291
2020-01-02 03:00:00;1663.166666666667;16497;0.10081631003616821;3326.556934017987;1663.3902673513198;3204.1527017758326;1540.9860351091654;3608.5099906791834;1945.3433240125162;4525.468995039487;2862.30232837282;3398.7736884414376;1735.6070217747708;4304.939648214787;2641.7729815481202;4304.738528361996;2641.571861695329
