Dates;Consommation;Conso_p_exog;Err_exog;Conso_p_noreg;Err_noreg;Conso_p_LinReg;Err_LinReg
2020-01-05;63376.84523809525;63430.76787706155;53.92263896630175;61438.04860808031;1938.796630014942;66050.16958873448;2673.324350639232
2020-01-12;65124.607142857145;72865.63370950881;7741.026566651664;68362.27630554835;3237.669162691207;62614.84030693666;2509.7668359204836
2020-01-19;65327.544642857145;75708.84868786517;10381.30404500803;77719.43832448758;12391.893681630434;62428.414928175676;2899.1297146814686
2020-01-26;71518.33630952383;70984.23331957764;534.1029899461864;76694.69603045358;5176.359720929744;67653.80720580294;3864.5291037208954
2020-02-02;63355.544642857145;71379.22381979677;8023.679176939622;68323.00544589794;4967.460803040798;59139.65374554341;4215.890897313737
2020-02-09;63144.03869047619;72801.99562132046;9657.956930844266;72284.19425666457;9140.155566188383;61596.65062284789;1547.3880676283006
2020-02-16;62016.45238095236;74446.68284101588;12430.230460063518;72507.57477784254;10491.122396890183;59493.53098369368;2522.9213972586804
2020-02-23;61517.297619047626;73469.98038958336;11952.682770535735;74748.15444916517;13230.856830117547;60906.38582988296;610.9117891646674
2020-03-01;62625.78273809522;67745.23547009425;5119.45273199903;74933.89692950276;12308.114191407542;61564.459172007555;1061.3235660876671
2020-03-08;64135.327380952374;68138.65382326032;4003.3264423079454;62760.43499924443;1374.8923817079412;62653.34605982594;1481.9813211264336
2020-03-15;58211.80654761905;66434.50857855626;8222.702030937202;69769.99445532718;11558.187907708125;58600.78157061134;388.97502299228654
2020-03-22;49315.45833333333;66645.07882758936;17329.62049425603;65225.5393551234;15910.081021790073;57215.756680576975;7900.298347243646
2020-03-29;50302.455357142855;64826.40196174574;14523.946604602883;65473.54380175151;15171.088444608657;62103.30568941045;11800.850332267597
2020-04-05;50178.70238095236;58859.43667125747;8680.73429030511;64334.53455286852;14155.832171916161;60581.382399914444;10402.680018962084
2020-04-12;41189.59226190477;56029.61214654975;14840.019884644978;58293.43108019631;17103.838818291537;50427.38897073687;9237.796708832102
2020-04-19;40494.080357142855;51390.1814221857;10896.101065042843;50455.28792086108;9961.207563718228;52173.41598914821;11679.335632005357
2020-04-26;40665.684523809534;50392.99734214109;9727.312818331557;50693.22998070359;10027.545456894055;50210.34468929036;9544.660165480826
2020-05-03;41348.95238095238;48053.401079276795;6704.448698324413;50156.18415580167;8807.231774849286;52995.11279678628;11646.160415833896
2020-05-10;39996.895833333336;46627.79030359148;6630.894470258143;44753.60003429083;4756.704200957494;48025.79655068418;8028.9007173508435
2020-05-17;43779.62202380952;50555.14629691391;6775.524273104391;49458.328510843785;5678.706487034266;54877.90095724811;11098.278933438589
2020-05-24;39885.056547619046;49245.019017078084;9359.962469459038;51537.65358887961;11652.597041260567;45925.550278280556;6040.49373066151
2020-05-31;40863.94642857144;45860.18827079759;4996.241842226147;50350.531560729854;9486.585132158412;44613.06217688553;3749.115748314085
2020-06-07;40952.0625;45345.50565542211;4393.443155422108;46404.76182932046;5452.699329320458;47653.01774607012;6700.955246070123
2020-06-14;42548.8630952381;43993.22228387461;1444.3591886365102;45472.59607528895;2923.7329800508523;49667.51252424658;7118.649429008481
2020-06-21;42436.181547619046;48028.91541066689;5592.733863047841;45733.8562555541;3297.6747079350534;46994.1946042951;4558.013056676056
2020-06-28;43491.16071428572;41731.77475478823;1759.3859594974856;45533.36591983197;2042.2052055462555;40039.227164620876;3451.933549664842
2020-07-05;43502.544642857145;43281.391053850224;221.1535890069208;45767.59549677824;2265.050853921093;43704.761945366714;202.21730250956898
2020-07-12;44201.877976190466;44217.13974646567;15.261770275203162;46494.2055762584;2292.3276000679325;42808.2449494675;1393.6330267229641
2020-07-19;42739.29166666667;45902.12235430455;3162.8306876378774;46730.405739940245;3991.114073273573;42507.52553407046;231.7661325962108
2020-07-26;44397.91666666668;47706.32111314456;3308.404446477878;46757.414205940666;2359.497539273987;40065.46279259879;4332.453874067891
2020-08-02;44220.3630952381;46774.60103370728;2554.2379384691812;44162.4184083442;57.9446868938976;37506.19415881972;6714.168936418377
2020-08-09;41777.90773809525;41143.934990501526;633.9727475937252;41297.87994782238;480.02779027287033;37192.3315476403;4585.576190454951
2020-08-16;41605.52678571428;40323.053190821316;1282.4735948929665;40031.26848386325;1574.258301851034;37156.85575571702;4448.671029997262
2020-08-23;41881.81845238096;43169.48890828228;1287.670455901316;42068.52059319668;186.70214081571612;39761.7330975578;2120.0853548231607
2020-08-30;42827.488095238084;43142.626261199075;315.1381659609906;44114.67624081435;1287.1881455762632;44965.442810490305;2137.954715252221
2020-09-06;43265.5;48871.45018068158;5605.950180681582;45492.08995520241;2226.589955202413;46114.10260406387;2848.602604063868
2020-09-13;43746.09821428572;46131.6425741592;2385.5443598734855;45819.47468198702;2073.3764677013023;43646.88681595224;99.21139833347843
2020-09-20;44412.095238095244;43453.28430629953;958.8109317957133;46625.69051588536;2213.5952777901184;39912.19261582909;4499.902622266156
2020-09-27;44761.985119047626;46625.75245984001;1863.7673407923867;46022.409148418235;1260.4240293706098;50889.50582669999;6127.520707652366
2020-10-04;48336.70238095238;51333.65292198497;2996.9505410325874;46316.062820644845;2020.6395603075362;53442.367005137625;5105.664624185243
2020-10-11;49466.74702380952;47273.603547830586;2193.1434759789336;49268.558627617036;198.1883961924832;53527.66510471413;4060.9180809046084
2020-10-18;54080.2857142857;47850.969241756204;6229.316472529499;50826.45745303114;3253.8282612545663;58857.756816354755;4777.471102069052
2020-10-25;50654.98511904762;53034.04419907746;2379.059080029845;48376.39016725354;2278.5949517940753;52319.385873477324;1664.4007544297056
2020-11-01;51850.535714285725;51167.48115588643;683.0545583992935;50866.89358157689;983.6421327088319;54379.649849236244;2529.1141349505197
2020-11-08;52906.06547619048;59088.76598198478;6182.700505794302;54986.39212809642;2080.32665190594;56758.08272575008;3852.017249559598
2020-11-15;50366.89880952381;62976.610807858575;12609.711998334766;60556.33599183875;10189.437182314941;54924.08603602989;4557.187226506081
2020-11-22;56276.758928571435;68604.66273411253;12327.903805541093;68348.6953902241;12071.936461652658;60626.28249198797;4349.5235634165365
2020-11-29;60409.31547619048;69942.89389589531;9533.578419704827;70387.09133757635;9977.775861385868;62797.74184108958;2388.4263648990964
2020-12-06;66395.05952380953;71725.7700432907;5330.710519481174;70920.97697256875;4525.9174487592245;66333.37670866997;61.68281513956026
2020-12-13;67811.64583333331;68378.260240308;566.6144069746806;72187.54427748754;4375.898444154227;65696.59153621683;2115.054297116483
2020-12-20;61096.535714285725;65896.06711260125;4799.531398315521;67033.67076265185;5937.135048366123;59949.02422352644;1147.511490759287
2020-12-27;59012.79166666668;59379.49319509613;366.7015284294539;59148.00827851291;135.21661184623372;62441.55149962497;3428.7598329582906
2021-01-03;65923.02976190475;59684.31353563173;6238.71622627302;62080.491541941934;3842.5382199628148;68989.82186922811;3066.7921073233592
2021-01-10;77322.125;64718.25669268229;12603.868307317709;64920.753578030955;12401.371421969045;72159.31167696234;5162.813323037655
2021-01-17;72812.34523809524;67034.04712015476;5778.298117940474;65510.71618425101;7301.629053844226;67429.12336545519;5383.221872640046
2021-01-24;68627.58928571429;68465.2987487852;162.29053692909656;66325.27704760559;2302.3122381087014;64926.86643125037;3700.722854463922
2021-01-31;66553.88095238096;67791.46001771739;1237.5790653364238;70790.36117208094;4236.480219699981;62910.40289838097;3643.478053999992
2021-02-07;60834.705357142855;67174.08085575394;6339.375498611087;67870.60284505787;7035.897487915019;60094.912445021386;739.7929121214693
2021-02-14;75195.75;65927.56562410598;9268.184375894023;67231.87823853838;7963.871761461618;72736.18512436529;2459.5648756347073
2021-02-21;62296.35714285714;64692.115940255884;2395.7587973987465;63834.298182033235;1537.9410391760975;59183.50554196445;3112.851600892689
2021-02-28;55531.13988095236;61914.83398568897;6383.694104736613;61049.736679202026;5518.596798249666;58124.10835623641;2592.9684752840476
2021-03-07;58439.2380952381;59505.640625964865;1066.4025307267657;63368.24269962919;4929.004604391092;62064.22273573819;3624.9846405000935
2021-03-14;59948.05654761905;55717.295332291345;4230.761215327708;54756.01455913342;5192.041988485631;62297.28438740099;2349.227839781939
2021-03-21;61241.12797619048;56176.66273268663;5064.4652435038515;55271.73845348692;5969.389522703561;63731.417843435614;2490.289867245134
2021-03-28;55958.782738095244;52846.777712059884;3112.00502603536;57519.434681896724;1560.6519438014802;60400.403458845285;4441.620720750041
2021-04-04;48021.85119047617;51655.30110741375;3633.4499169375777;50104.3073182963;2082.456127820129;54221.38080657832;6199.529616102154
2021-04-11;54827.58630952383;50468.15975682865;4359.4265526951785;47721.91543274952;7105.670876774311;62312.245793311144;7484.659483787313
2021-04-18;56443.89583333332;48735.49202145102;7708.403811882301;50329.90597270064;6113.989860632682;62842.40266566102;6398.506832327701
