Dates;Eolien;Capa_eol;TCH_eol;Eol_p_exog;Err_exog;Eol_p_noreg;Err_noreg;Eol_p_LinReg;Err_LinReg
2020-01-05;2955.008928571429;16497.285714285714;0.179120915994839;2662.2801628904062;292.7287656810227;2716.9939506423293;238.0149779290997;3038.0811963271685;83.07226775573965
2020-01-12;5234.122023809524;16519.14285714286;0.3168519135087142;4479.702056236423;754.4199675731004;2092.27919295362;3141.8428308559032;4688.084032684785;546.0379911247388
2020-01-19;7465.026785714284;16540.285714285714;0.4513239320447046;4235.742787889179;3229.2839978251045;2670.0488706580304;4794.977915056254;6449.757908086855;1015.2688776274283
2020-01-26;3448.9821428571418;16561.14285714286;0.2082574960320198;8275.95878102937;4826.976638172228;3352.671944528701;96.31019832844113;3096.913896083966;352.068246773176
2020-02-02;8937.166666666666;16582.14285714286;0.5389633139493143;6809.576851227162;2127.5898154395045;6606.08366948038;2331.082997186286;7872.010472890091;1065.1561937765753
2020-02-09;6407.407738095238;16603.571428571428;0.3859053918405392;3183.543182312891;3223.8645557823465;6903.319785242814;495.91204714757583;6243.845537668042;163.5622004271953
2020-02-16;9618.232142857143;16625.0;0.5785402792696026;5173.3461187985195;4444.886024058624;3742.0511202315884;5876.181022625555;10165.731432879862;547.4992900227182
2020-02-23;8173.607142857143;16646.0;0.49102529994335836;4097.778658641104;4075.828484216039;3864.523945353787;4309.083197503357;7703.539401554538;470.06774130260504
2020-03-01;9362.285714285714;16668.714285714286;0.5616681379144848;3409.1774012307196;5953.108313054995;3343.282807521579;6019.002906764135;9121.681616943899;240.60409734181553
2020-03-08;5998.270833333332;16688.285714285714;0.35943001791961277;6650.414545445822;652.1437121124901;3200.2701337220183;2798.000699611314;6381.257756451767;382.9869231184348
2020-03-15;7052.479166666668;16709.714285714286;0.42205863284545064;4461.702787544385;2590.776379122283;4754.78602079458;2297.6931458720883;7212.015986450466;159.53681978379868
2020-03-22;3861.8035714285716;16731.0;0.23081725966341352;3515.593559139235;346.21001228933676;4457.420665406115;595.6170939775438;3328.618666948367;533.1849044802048
2020-03-29;6123.645833333332;16751.714285714286;0.36555338330689674;4815.312274694836;1308.333558638497;2956.719342131783;3166.926491201549;5095.231465454809;1028.4143678785233
2020-04-05;4718.886904761906;16773.0;0.28133827608429657;6183.158070688302;1464.2711659263957;4107.446019292973;611.4408854689336;3810.783547620312;908.103357141594
2020-04-12;2081.8363095238096;16794.285714285714;0.12396099155041398;4281.013284188418;2199.176974664608;5622.108206856757;3540.271897332947;670.6078917595482;1411.2284177642614
2020-04-19;3740.860119047619;16815.428571428572;0.22246593972655496;2357.3174022296357;1383.5427168179833;4572.116123476033;831.2560044284136;3205.9727435615287;534.8873754860904
2020-04-26;2510.6964285714284;16835.714285714286;0.14912918964785743;2958.067897112276;447.3714685408477;2694.882999038815;184.1865704673863;1972.4905743253182;538.2058542461101
2020-05-03;4821.187500000001;16858.285714285714;0.28598325960951804;4220.602476863182;600.5850231368181;2535.5306487759976;2285.656851224003;5097.054153964108;275.86665396410774
2020-05-10;2365.5714285714284;16877.85714285714;0.14015828007956324;3769.5562209908994;1403.984792419471;3276.2194412288873;910.6480126574592;2003.0301038060556;362.5413247653725
2020-05-17;5307.163690476191;16899.428571428572;0.31404397302811027;4639.0615391598;668.1021513163901;3237.2836328300273;2069.880057646163;5117.389233877558;189.7744565986328
2020-05-24;2563.4077380952376;16921.428571428572;0.15148884902209087;4163.361424436073;1599.953686340836;3363.4832502748845;800.0755121796467;2621.948722369041;58.540984273803396
2020-05-31;3693.1577380952376;16942.571428571428;0.21798094543471783;2922.5893450351264;770.568393060111;3576.3441421145353;116.81359598070222;3297.861751695102;395.2959864001355
2020-06-07;3501.041666666667;16964.14285714286;0.20637893091029538;3424.259935783344;76.78173088332264;3406.604794742279;94.43687192438809;3740.3393239866086;239.29765731994186
2020-06-14;2651.104166666667;16984.714285714286;0.15608765164195257;4349.534202416704;1698.4300357500372;2908.902579900681;257.7984132340143;3550.147032630507;899.0428659638402
2020-06-21;1750.8482142857142;17005.85714285714;0.10295559933132283;3433.0082887731605;1682.1600744874463;3596.435090735654;1845.5868764499396;2577.8162567658123;826.9680424800983
2020-06-28;3062.574404761905;17026.85714285714;0.17986727550872014;2619.649360735881;442.9250440260238;2968.453151141578;94.12125362032683;2739.2428369246204;323.3315678372847
2020-07-05;4602.407738095239;17049.0;0.26995177066662207;3503.2158396304158;1099.1918984648237;2296.2766585236122;2306.131079571627;5617.233923635966;1014.8261855407266
2020-07-12;2907.205357142857;17068.714285714286;0.1703236288614926;1799.4532463000965;1107.7521108427604;2835.1791655616366;72.02619158122047;3671.7732900467495;764.5679329038927
2020-07-19;1646.928571428571;17089.85714285714;0.09636877345794079;1395.1784235240193;251.75014790455174;2413.0733791365556;766.1448077079843;2171.38094852371;524.4523770951386
2020-07-26;2528.800595238095;17111.571428571428;0.14778307216225164;3406.816523241893;878.0159280037982;1415.3424473358377;1113.458147902257;2572.8107912173473;44.0101959792525
