;Err_sinus;Err_exog;Err_exog_filter;Err_filter_noreg;Err_filter_exog_filter;Err_LinReg;Err_LinReg_filter
count;670.0;670.0;670.0;670.0;670.0;670.0;670.0
mean;2254.348353400568;5354.534166410431;2522.7630334970167;2595.6616128503583;2500.8091684649144;984.9298601139174;986.7583669795781
std;2042.7836408818239;3761.2398890203735;2151.1303895069364;2187.1435375402602;2156.3441075290725;764.4980443739847;783.4740936827202
min;1.64537561816428;7.876261121280416;12.081913205041307;5.327765302081154;0.09868205615102132;12.823193766850846;0.6182130414113709
25%;738.9989159681703;2303.714232660388;923.9484678285941;960.9472239799653;848.8204210057329;370.34587250384055;339.00347761077813
50%;1593.4599213644408;4692.135393358532;1926.9921466615124;1986.3920296238125;1956.9432108587205;831.0867823314015;836.7597235705159
75%;3198.297854970646;7821.343461179915;3638.857100571843;3747.02689187086;3584.273444466145;1425.8527808797267;1387.3021055874992
max;10617.857558720405;20361.207262325435;13611.84830106748;15765.214126494691;14869.670355622762;4094.1969295617896;4107.4106581017295
