;Err_sinus;Err_exog;Err_exog_filter;Err_filter_noreg;Err_filter_exog_filter;Err_LinReg;Err_LinReg_filter
count;5360.0;5360.0;5360.0;5360.0;5360.0;5360.0;5360.0
mean;2235.6288775528915;2150.35482687945;2200.2599101368664;2217.245448433053;2188.711046148096;2082.911346506399;2082.9548433735818
std;1670.066509751105;1606.7261057841624;1640.5710292079566;1652.8957353887622;1630.7061454085747;1573.3876232764376;1573.506470091872
min;0.24949077735159697;0.09074836283584942;0.0020715847107353746;0.7030159984633282;0.17467876910019853;0.15356328494496752;1.2930135171337076
25%;891.6565961427983;869.7859089255003;893.2227046800151;869.1774118809481;857.8689429219318;848.1479157978025;847.6384108273928
50%;1887.5082256871;1806.441143049472;1852.478048662952;1910.1384168712557;1881.6264372410524;1772.5288543641768;1773.9092686970298
75%;3200.319533323941;3060.2797627941645;3141.5949226823486;3209.485283440825;3156.4880357693955;2993.687425558306;2994.3832751321174
max;9697.015993321173;9438.9316394304;9830.714721404762;9115.088004011426;8946.299498479948;9834.265699926304;9832.275822934798
