Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_exog;Err_exog;Hyd_p_noreg;Err_noreg;Hyd_p_LinReg;Err_LinReg
2020-01-05;8763.904761904761;25346;0.34577072366072603;7999.4819029809905;764.4228589237711;7989.462339726445;774.442422178317;6777.870945242135;1986.0338166626264
2020-01-12;7873.291666666665;25346;0.3106325126910229;9042.398097419555;1169.1064307528895;8917.755924887742;1044.4642582210768;6867.64048532292;1005.6511813437461
2020-01-19;7642.711309523808;25346;0.30153520514178994;9770.058903754414;2127.3475942306063;9855.660635567505;2212.949326043697;6977.706229844234;665.0050796795737
2020-01-26;9820.946428571431;25346;0.38747520036974004;9454.411154666574;366.535273904857;9477.44955252445;343.4968760469822;7353.629908564812;2467.316520006619
2020-02-02;8301.842261904761;25346;0.32754052954725643;9207.13071784408;905.2884559393179;9192.885516923077;891.0432550183158;7169.245854832854;1132.5964070719076
2020-02-09;9310.53273809524;25346;0.3673373604551109;10335.508381361518;1024.975643266278;10348.185177526088;1037.652439430847;6898.342270188104;2412.190467907137
2020-02-16;8712.997023809523;25346;0.3437622119391432;9977.86679293476;1264.8697691252353;10067.203410527962;1354.2063867184388;6964.893711601623;1748.1033122079004
2020-02-23;8772.51488095238;25346;0.3461104269293924;9948.40119220037;1175.886311247989;9956.807863573826;1184.2929826214447;6926.215200769277;1846.2996801831034
2020-03-01;9578.086309523813;25346;0.37789340761949863;9316.47046013938;261.6158493844325;9158.777479852086;419.3088296717261;7269.931531495113;2308.1547780286996
2020-03-08;10801.190476190475;25346;0.42614970710133654;7615.138844766301;3186.051631424175;7709.9245946943565;3091.265881496119;7665.397956129605;3135.7925200608715
2020-03-15;10510.232142857143;25346;0.4146702494617353;8799.21178011517;1711.020362741973;8752.12748948326;1758.104653373882;7038.532266505851;3471.6998763512925
2020-03-22;9823.327380952382;25346;0.38756913836314927;8706.332673703797;1116.9947072485836;8668.3211724472;1155.0062085051818;6842.725497186397;2980.6018837659844
2020-03-29;8436.369047619048;25346;0.33284814359737425;9025.671909209557;589.3028615905101;9107.482750608713;671.1137029896646;6943.6133738878925;1492.755673731155
2020-04-05;8307.252976190477;25346;0.32775400363727913;9200.67902688272;893.4260506922437;9215.848940149386;908.5959639589092;6811.716244716041;1495.5367314744365
2020-04-12;6607.535714285716;25346;0.2606934314797489;9222.521417117405;2614.9857028316897;9273.748211353706;2666.212497067992;6849.93810247798;242.4023881922639
2020-04-19;6473.494047619048;25346;0.2554049572957882;10133.717976174357;3660.223928555309;10043.720597933356;3570.2265503143076;7061.259229359045;587.765181739997
2020-04-26;6797.372023809524;25346;0.2681832251167649;10617.083136106745;3819.7111122972215;10497.550147254313;3700.1781234447894;7409.768449903795;612.3964260942721
2020-05-03;7837.785714285716;25346;0.3092316623643066;10328.669482199886;2490.8837679141707;10520.874584571779;2683.088870286063;7993.257090432577;155.4713761468614
2020-05-10;9061.113095238095;25346;0.35749676853302675;11235.347553336554;2174.234458098458;11015.488219914723;1954.3751246766276;7124.3876978547505;1936.7253973833458
2020-05-17;10113.809523809525;25346;0.39902980840406865;11188.39654330416;1074.5870194946351;11385.154173299714;1271.3446494901902;7932.159549763474;2181.6499740460495
2020-05-24;8790.857142857143;25346;0.34683410174611945;11691.50208838294;2900.6449455257966;11659.078786442788;2868.2216435856444;6913.410213727121;1877.4469291300222
2020-05-31;8206.744047619048;25346;0.32378852866799684;11581.516979042735;3374.772931423688;11633.950804112723;3427.2067564936747;6791.846653164316;1414.8973944547315
2020-06-07;8265.238095238094;25346;0.32609635032108;10949.2592615159;2684.021166277807;11012.744797112262;2747.506701874169;7864.560467594251;400.67762764384196
2020-06-14;9498.59226190476;25346;0.3747570528645451;10468.676510682317;970.0842487775562;10407.93158135048;909.3393194457196;8156.815428635694;1341.7768332690653
2020-06-21;9467.601190476187;25346;0.37353433245783113;9729.282151684718;261.68096120852925;9832.377625236739;364.77643476055084;7030.079128644613;2437.5220618315752
2020-06-28;8353.60119047619;25346;0.3295826241014831;9359.050189682168;1005.4489992059771;9349.178706824045;995.5775163478539;7201.556312577671;1152.0448778985192
2020-07-05;7539.25;25346;0.29745324706068016;9344.308705921238;1805.0587059212382;9344.563399665862;1805.3133996658614;6880.180780286091;659.0692197139076
2020-07-12;6691.080357142857;25346;0.2639895982459898;8525.153105934727;1834.0727487918698;8488.017908737222;1796.9375515943655;7014.725676450067;323.6453193072101
2020-07-19;5955.464285714284;25346;0.23496663322474096;8200.627777799888;2245.1634920856027;8092.587078059819;2137.122792345534;6798.319846887437;842.8555611731524
2020-07-26;5423.020833333334;25346;0.21395963202609225;8077.399818236062;2654.378984902728;8208.092481625863;2785.071648292528;7009.844612351644;1586.8237790183105
2020-08-02;5579.16369047619;25346;0.22012008563387478;8111.161302728047;2531.9976122518574;7940.781369779204;2361.6176793030145;7413.192988295861;1834.0292978196715
2020-08-09;5721.8869047619055;25346;0.22575108122630416;6906.594773873034;1184.707869111128;7135.131333785275;1413.2444290233702;6828.143400697084;1106.2564959351785
2020-08-16;5063.648809523809;25346;0.19978098356836618;5634.613478639947;570.9646691161379;5607.791374743999;544.1425652201897;7262.3031870142595;2198.6543774904503
2020-08-23;4702.782738095238;25346;0.1855433890197758;5362.377789449393;659.5950513541559;5400.7907088266165;698.0079707313793;6929.297111850665;2226.514373755427
2020-08-30;4085.726190476191;25346;0.16119806638034367;5160.678198593663;1074.9520081174728;5050.130015758775;964.4038252825837;7542.8570742221045;3457.1308837459133
2020-09-06;4929.758928571428;25346;0.19449849793148538;5410.450378424722;480.691449853293;5445.290530858669;515.53160228724;6775.755312565447;1845.9963839940185
2020-09-13;4129.455357142857;25346;0.1629233550517974;5650.056521494699;1520.6011643518425;5705.81238250841;1576.3570253655535;6857.074803423383;2727.619446280526
2020-09-20;4362.964285714285;25346;0.17213620633292376;6268.184106357673;1905.2198206433877;6188.749622498909;1825.7853367846233;7281.075508045469;2918.111222331184
2020-09-27;4541.895833333333;25346;0.17919576396012518;5691.728596334944;1149.832763001611;5611.302152008844;1069.4063186755113;8007.125796074108;3465.2299627407747
2020-10-04;6445.821428571428;25346;0.2543131629673885;5548.226691566713;897.5947370047151;5670.58488849238;775.236540079049;7832.935433711249;1387.1140051398202
2020-10-11;6874.842261904762;25346;0.27123973257732037;5923.699505116997;951.1427567877655;5887.240308614641;987.6019532901202;7107.83475390203;232.99249199726748
2020-10-18;6705.556547619048;25346;0.2645607412459184;6804.856836126027;99.3002885069794;6817.645312197261;112.08876457821337;6999.084219303215;293.5276716841679
2020-10-25;6482.773809523808;25346;0.25577108062510095;6592.64055247137;109.86674294756152;6616.58159467266;133.80778514885077;7326.306882547343;843.5330730235343
2020-11-01;7469.023809523808;25346;0.29468254594507254;6939.843265841682;529.1805436821267;6836.110357948337;632.913451575472;7210.981271468665;258.0425380551437
2020-11-08;6338.491071428572;25346;0.25007855564698855;8589.500673303022;2251.00960187445;8707.166041723083;2368.674970294512;7252.422844356309;913.9317729277365
2020-11-15;6195.3869047619055;25346;0.24443252997561374;9164.13960397829;2968.7526992163844;9021.333313559922;2825.9464087980173;6988.79258001806;793.4056752561547
2020-11-22;5611.285714285716;25346;0.2213874265874582;8954.77688572435;3343.491171438634;9177.273586401407;3565.987872115691;6916.646175936958;1305.3604616512418
2020-11-29;6768.202380952379;25346;0.267032367275009;8616.470295276822;1848.2679143244432;8651.284337003392;1883.0819560510129;6845.418874482412;77.21649353003363
2020-12-06;7017.2619047619055;25346;0.27685875107559005;8105.45242477818;1088.1905200162746;8106.401694642334;1089.1397898804287;7372.863240608266;355.60133584636054
2020-12-13;8039.514880952382;25346;0.3171906762784022;7883.104106753116;156.41077419926603;7771.9145298292115;267.60035112317036;7605.986642780798;433.5282381715837
2020-12-20;8305.565476190477;25346;0.3276874250844503;7053.193655956429;1252.3718202340483;6939.590851990761;1365.9746241997168;7697.243256470916;608.3222197195613
2020-12-27;7202.401785714284;25346;0.28416325202060616;7102.623177713632;99.778608000652;7136.6816357102125;65.72015000407119;7131.986594495615;70.4151912186691
2021-01-03;7183.494047619048;25346;0.28341726693044456;7934.2092260209765;750.7151784019289;8139.49681642974;956.0027688106925;7467.954420014205;284.46037239515755
2021-01-10;9538.357142857143;25346;0.3763259347769724;9197.852271172236;340.5048716849064;8939.23183932812;599.1253035290225;6908.94556577981;2629.411577077333
2021-01-17;9902.940476190475;25346;0.390710190017773;9083.77641314625;819.1640630442247;9214.91896058895;688.0215156015254;7188.322597140963;2714.617879049512
2021-01-24;9396.5625;25346;0.3707315750019727;9761.510471968944;364.9479719689455;9744.347040496345;347.7845404963447;7426.553295596431;1970.0092044035682
2021-01-31;11017.741071428569;25346;0.43469348502440497;10143.118066053641;874.6230053749273;10155.712553512178;862.0285179163899;7437.432199276772;3580.3088721517965
