Dates;Balance;Bal_p_exog;Err_exog;Bal_p_noreg;Err_noreg;Bal_p_LinReg;Err_LinReg
2020-01-05;4980.857142857143;5956.994447591395;976.1373047342522;6100.439609723476;1119.5824668663327;5658.256478305223;677.3993354480799
2020-01-12;6462.229166666666;946.8730587903077;5515.356107876359;6081.395961230881;380.8332054357852;5058.8872095394545;1403.3419571272116
2020-01-19;7972.294642857142;1976.313879557069;5995.980763300073;2973.7623696089067;4998.5322732482355;4372.357757250668;3599.936885606474
2020-01-26;3110.550595238095;6034.208086899274;2923.6574916611794;3665.6672285123204;555.1166332742255;3474.8612260021996;364.31063076410464
2020-02-02;8618.39880952381;3738.0416453723833;4880.357164151426;5486.782720955675;3131.616088568134;3935.251071069853;4683.147738453956
2020-02-09;10526.184523809525;4727.740847289413;5798.443676520112;4587.727798099009;5938.4567257105155;6903.735182028484;3622.449341781041
2020-02-16;10032.6875;1348.2475792594873;8684.439920740513;5396.005448112979;4636.682051887021;4218.757777183533;5813.929722816467
2020-02-23;8741.32142857143;-634.0287174540288;9375.350146025457;2835.3643725668476;5905.957056004581;4342.604739845553;4398.716688725876
2020-03-01;8715.166666666666;5153.142354671566;3562.0243119951;822.5975855391815;7892.569081127484;4401.930981735693;4313.235684930973
2020-03-08;6621.470238095238;1052.9437163111259;5568.5265217841115;3697.148009064258;2924.3222290309795;5236.632931756056;1384.8373063391819
2020-03-15;8379.479166666668;2471.133207759517;5908.345958907151;1230.3982328096884;7149.08093385698;5197.4835553154335;3181.9956113512344
2020-03-22;10257.166666666668;1678.2363038951512;8578.930362771516;3941.46513387708;6315.701532789588;8585.720770832875;1671.4458958337927
2020-03-29;7612.735119047618;1786.786575008783;5825.948544038835;1571.8032693605883;6040.93184968703;4951.705670375241;2661.029448672377
2020-04-05;6877.589285714284;3235.805469319776;3641.7838163945084;2268.3952405004284;4609.194045213856;5620.998250703995;1256.5910350102895
2020-04-12;9689.502976190472;7748.603244288872;1940.8997319015998;2775.5085775941916;6913.99439859628;9766.939723974545;77.4367477840733
2020-04-19;8690.023809523807;7873.823904412784;816.1999051110233;5609.6574877225785;3080.366321801229;7856.327495428732;833.6963140950756
2020-04-26;6333.9880952380945;6504.835287726719;170.8471924886244;6102.759623690647;231.22847154744795;7178.5182801606825;844.530184922588
2020-05-03;7362.815476190475;9869.525196288898;2506.7097200984226;6295.603791928917;1067.2116842615578;6201.024817750116;1161.790658440359
2020-05-10;9847.797619047618;9212.97076767177;634.8268513758485;8804.19262316852;1043.604995879099;9332.127256763852;515.6703622837667
2020-05-17;9011.699404761905;6951.017596585198;2060.681808176707;7306.223887261668;1705.4755175002365;6742.4126298318115;2269.286774930093
2020-05-24;8417.127976190475;7466.007614122481;951.1203620679944;7199.457805833259;1217.6701703572162;7380.748312433265;1036.3796637572104
2020-05-31;8659.824404761906;9897.751287942177;1237.926883180271;6391.7095683547805;2268.114836407126;6456.674063870078;2203.150340891829
2020-06-07;7086.372023809521;9079.929850364524;1993.557826555003;8155.574403046661;1069.2023792371401;6101.109126311818;985.2628974977033
2020-06-14;5913.178571428571;6477.006161800357;563.8275903717868;7380.563199583127;1467.3846281545566;5581.501430864288;331.67714056428304
