Dates;Vent;Humidite;Pluie_eol;Temperature_eol;Diff_pression;Chauffage;Eau;Soleil;TCH_nucleaire;TCH_thermique;TCH_hydraulique;TCH_solaire
2013-01-01;4.472571984306424;85.1530428470098;0.5515272420977967;7.412520226537239;-1292.6724520104626;-7.246291301397083;1.806650950840369;8.049999999999999;0.7847607522615457;0.547669702398726;0.21369923590836162;0.03219904866447128
2013-01-02;3.184095190602837;86.69077183067378;0.019864250886524822;5.688320866578039;-1322.985954122341;-5.354237583859863;0.35305965438333464;8.066666666666665;0.8851891895466328;0.7003769782024486;0.3176684683973802;0.07205122932090303
2013-01-03;3.6383432473747175;90.60254663476452;0.035064690504674555;8.213929782001884;-1323.0020991182596;-7.158079348379503;0.018978339777479685;8.08333333333333;0.8771385494365973;0.8874726286453669;0.332442331465846;0.05776567068713451
2013-01-04;3.0370049175970233;90.34570208665603;0.014516879319510897;8.530909423179184;-1320.6599714247739;-8.080849420861089;0.024999999999999998;8.116666666666669;0.887849150928424;0.7931752015527023;0.30069669112812014;0.038840549922353154
2013-01-05;2.8179511028434763;91.52994618655326;0.013493223491894767;7.595722329258596;-1321.2005879617332;-7.453865232605733;0.02032273337015703;8.133333333333335;0.8750271120986087;0.5452933711555688;0.27111773060838;0.04109018264840182
2013-01-06;2.5349998893021604;92.08422168349274;0.010419987601842012;7.006893154445648;-1319.5580112026207;-6.650384338441205;0.008206423104237354;8.166666666666666;0.8597765566312225;0.5376791579575992;0.22047282279912678;0.042527831006478695
2013-01-07;2.4470234537565863;90.52672997742064;0.005954752733873468;5.750270896976161;-1322.2174812945498;-5.624976228181351;0.0073068728793497986;8.200000000000001;0.893874980161879;1.2113690653926545;0.3373140732265446;0.045377336981304146
2013-01-08;2.5824450604169433;90.55269054574426;0.01869771610675873;4.928549495418958;-1324.977813924666;-4.495798002769105;0.004106170598911071;8.216666666666667;0.9075993228588055;1.4496460386184928;0.3752613824666614;0.04014561115668581
2013-01-09;2.207798187972919;93.2368688880039;0.12640603566529493;4.512860082304549;-1326.2838787114479;-4.0955842636328965;0.02648840053657382;8.25;0.9273676797333757;1.2331106300388177;0.40337232699439757;0.038147945704655184
2013-01-10;3.1796466489714668;92.6800182481752;0.4622677504976775;6.273790643662928;-1307.8332780358328;-6.0791923384471485;0.7724848102264658;8.283333333333333;0.9234063376183673;1.199530954513785;0.34326422315158217;0.03809296185013202
2013-01-11;3.491407390208306;86.46110853124586;0.3018259917739154;5.539621202069812;-1309.8299223829115;-5.709651799661663;0.6805067860806439;8.316666666666665;0.9255058720837961;1.2038388324873097;0.31421460322470346;0.07800837429455672
2013-01-12;3.4045720586284656;89.3061662687359;0.41078668700534987;4.06629250121592;-1312.8899168766852;-3.902223235978535;0.33994022725479367;8.350000000000001;0.9214208723483046;0.9754248780730564;0.2676950998185118;0.05052538209606987
2013-01-13;2.9485107206012375;89.19849414235189;0.07014644120247569;2.8719255636604997;-1320.2931863395224;-3.397827454723442;1.5889065335753176;8.383333333333335;0.9172280854890758;0.9078611774659104;0.21701073805202664;0.027808094588449295
2013-01-14;4.2483616746221164;82.51390270043312;0.19263789445770352;1.271468940599334;-1329.6903175550256;-1.4116738007680723;0.749034364396749;8.433333333333332;0.9297201502407024;1.421441101821439;0.34325435966227413;0.0461820701563068
2013-01-15;4.2995305319901025;84.92736501413927;0.3034812433722163;1.6352796924708577;-1317.8478481795692;-1.9320487350617201;1.5765544859149372;8.466666666666669;0.9301165820240173;1.5571563650841045;0.3776590323259423;0.04577656675749318
2013-01-16;3.4056404055128544;82.68295288894778;0.3005002650410814;-1.034001457725926;-1341.435694407633;0.5033736563532905;1.599809634656356;8.5;0.9081504919853991;1.6259362247437046;0.39872991136010943;0.03333219862018882
2013-01-17;3.2854373675145734;77.33102311870695;0.003964626391096979;-2.8937831213566287;-1351.1668653948068;2.475779170790939;0.18434960151503196;8.533333333333331;0.9158810770777125;1.7681895093062605;0.41001456508587814;0.07132806826434278
2013-01-18;4.233192310239767;84.56324513180553;0.16862498344151544;-2.10133792555303;-1331.604517154591;1.8583754443374763;0.5757131302769668;8.583333333333334;0.9273270115854627;1.9400287399223646;0.4113724387806097;0.027562358276643988
2013-01-19;4.621570542532998;90.97000121396725;0.4691575067320002;0.2621515362203904;-1302.9272888800601;-1.0469052386000521;2.1778219442910123;8.616666666666667;0.927672525525049;1.3803343037722702;0.3362307333175517;0.01371135889765207
2013-01-20;3.5582936087570625;89.82232631532486;0.6109270171257062;0.36602776306499485;-1299.697320798022;-1.0770942921428817;3.5572407875009864;8.66666666666667;0.9147546024440566;1.2394558077037923;0.3002528341092611;0.025624037328984328
2013-01-21;4.176220104139087;88.41551385579385;0.2896649677874856;2.063805875474385;-1296.0284286470749;-2.3754464277466827;0.7052365264736054;8.716666666666667;0.9114469264137968;1.6745950283666766;0.36858544412004524;0.05230978260869566
2013-01-22;3.690558827421916;88.09665056467266;0.2842084656784895;2.479544677518989;-1307.70155064408;-2.7201875866041316;0.5133906730845104;8.750000000000002;0.9117735941384966;1.7688178063103415;0.3580832938793761;0.05751651733188523
2013-01-23;2.802519681132575;89.58935895739613;0.09581403810531887;1.8619633170151069;-1313.3057687218839;-2.428109821540931;1.7867069754596385;8.816666666666665;0.9144583531714543;1.8809968149696428;0.3600461282516636;0.038364096996018816
2013-01-24;3.312155993649113;84.90506747816883;0.08096057157978301;1.066479227308837;-1323.151958189998;-1.6309040283457887;0.6203414739998422;8.866666666666667;0.916991681214622;1.904977854085797;0.37152969567847655;0.05528802676795081
