Dates,Vent,Humidite,Pluie_eol,Temperature_eol,Diff_pression,Chauffage,Eau,Soleil,TCH_nucleaire,TCH_thermique,TCH_hydraulique,TCH_solaire
2013-01-01,4.657827721266292,84.69378099488061,0.6202436385123444,7.459363141898362,-1291.6807516235021,-7.405576746909385,2.766248298847625,8.049999999999999,0.7719049138183554,0.5489692150680866,0.20567553556909648,0.031033283705887843
2013-01-02,3.5982619551337214,86.82145866005035,0.16462076247601928,5.52064717518858,-1323.6172717749314,-5.114777554916639,-0.14208983452644905,8.066666666666665,0.880209076035803,0.8128054483456718,0.3070429454058141,0.05919536806048232
2013-01-03,3.575945361669973,90.64032496234152,-0.1492330362212368,8.376307490492675,-1318.6834212429899,-7.479013942996474,0.1326498833104189,8.08333333333333,0.8770684298548489,0.7618466667661044,0.3430212809689066,0.07080771129449782
2013-01-04,2.829413980833714,91.48878047214731,0.002869916262588929,8.51047889438239,-1325.3213285930321,-8.0552008881313,0.31067905954529457,8.116666666666669,0.8936431275857185,0.750888590858371,0.30024972968436814,0.04753902362110521
2013-01-05,2.5672553883835185,90.56691862837143,-0.19766096170197917,7.601165193945627,-1316.9634515232246,-7.514364874250084,0.3390832938834787,8.133333333333335,0.8739494174812127,0.6051442975801334,0.25830943982047316,0.03620584561231048
2013-01-06,2.9552264809373954,89.80448194929477,0.1988178461338126,7.059567241970468,-1320.7068762172414,-6.549276831018247,-0.0685025078923544,8.166666666666666,0.8628490185274079,0.5690807496103722,0.2320093315984616,0.042068100600755456
2013-01-07,2.381934099344885,90.32347660780589,0.004806613522906226,5.743562661222081,-1320.6650514581668,-5.4945142023913185,0.29375019918607004,8.200000000000001,0.8867882840097003,1.0664837248118888,0.33354233616760254,0.04031686027291913
2013-01-08,2.8187166058355237,89.96527549625661,0.0817652660045434,4.872327624351246,-1328.2387762566834,-4.498488666684081,0.4246924767491313,8.216666666666667,0.9188450547864633,1.4395338305165166,0.38039095328160005,0.04615055995125885
2013-01-09,2.5803990263321372,92.93008466402426,0.08164018978744707,4.688018618532488,-1320.43896719574,-4.298105481443197,-0.30657795955150224,8.25,0.9210580315331932,1.2768216199700915,0.40135282258069865,0.0463638256258297
2013-01-10,2.849446170001182,91.28644491456417,0.40591718891638956,6.010323907696051,-1310.5445110157898,-5.8705011178244275,0.6866766983634367,8.283333333333333,0.9130694441908987,1.137304651616957,0.355298045590561,0.04233292253864277
2013-01-11,3.291576081924958,89.00857188633202,0.15698167632043586,5.873438355162851,-1306.9145570644193,-5.591809341664823,1.6006429459837666,8.316666666666665,0.934923481263988,1.3416311945814623,0.30341422864625284,0.07925208174061175
2013-01-12,3.755781744613722,89.21331686390153,0.5506918868749354,4.075287770310574,-1311.256317925381,-4.087156647929966,0.16698498015093594,8.350000000000001,0.917431817839993,1.0273995303100132,0.26931268166291567,0.0505592919559716
2013-01-13,2.567788019064995,87.81260665818715,0.18236510613172255,2.820101006028343,-1322.0662212085722,-3.2511156254455154,1.5267351104800844,8.383333333333335,0.9060783968787349,0.8866742921169215,0.22593931566336103,0.024903438827688175
2013-01-14,3.408113649158194,84.50076187258192,0.2415844785417941,1.3444708595551422,-1328.7101184219378,-1.8084037019871622,1.382438998791869,8.433333333333332,0.937114913164161,1.3283837977185047,0.33928219858949715,0.044152430119262946
2013-01-15,4.219122025416367,81.9041063858841,0.13305624647176903,1.367348298411311,-1320.0025730738919,-1.5264792461226842,1.6566014373942772,8.466666666666669,0.9314689324084717,1.5352955998012183,0.3757106503907018,0.05106731593149301
2013-01-16,3.577159167578188,82.65872542626242,0.36967308555350303,-0.9280164682979894,-1343.6685813162305,0.2277896288323296,1.8870684121073158,8.5,0.9119151178806607,1.7150939881613947,0.3969260441909552,0.03740359055546271
2013-01-17,3.7626461170245524,83.50494723672607,0.12612303549019957,-3.135805705042772,-1351.7171775579454,2.5337477580168635,0.06601427254011549,8.533333333333331,0.9235576707273939,1.7645566270879711,0.4131049965052757,0.06699775769430469
2013-01-18,4.235920325286512,86.16959283884238,0.27912625315927125,-1.9402512511395014,-1329.0805989735431,1.7614799660965768,0.6424747214533532,8.583333333333334,0.9285157977053592,1.7785183551262256,0.40805369040398737,0.024905463464139126
2013-01-19,4.33196870542399,90.55070409245332,0.4901799981828359,0.176030244542451,-1306.388313322747,-0.8844017233008565,2.1324513102135567,8.616666666666667,0.9268536252072567,1.4835916697609344,0.3487919212439724,0.017933919594674604
2013-01-20,3.556087746154346,89.32533859426825,0.6620846914461657,0.28965108186718724,-1293.5454189194093,-1.1086363792265406,3.907621871795364,8.66666666666667,0.9122140403484281,1.3290003676713922,0.29051970523886345,0.024953373951791223
2013-01-21,4.524643039966559,88.76298507325903,0.2266332851897221,2.1401033430616367,-1300.299975445661,-2.235138470574735,0.3545700544075059,8.716666666666667,0.9113556926722635,1.6299086627059787,0.37432082459353533,0.047845687286759496
2013-01-22,3.4685124372747778,88.81393505074901,0.1487302064989775,2.608823214208785,-1307.6394916838324,-2.8824009223615086,0.4504572682049852,8.750000000000002,0.9148132152323762,1.7347196519868044,0.3644616409491268,0.059899667482489635
2013-01-23,2.872978351601497,87.89396088651255,0.05918349934033132,1.8361572645443323,-1311.9910556809762,-2.487930130770111,1.7588857965635656,8.816666666666665,0.9101735604499347,1.937556196529399,0.3501419842516582,0.03932535806848071
2013-01-24,3.249631884059128,85.5388298947149,0.23967193101198084,0.7961314741715624,-1325.7560281460187,-1.1794127306694706,0.9639694777861408,8.866666666666667,0.9182461762062634,1.9110857140306028,0.3645293046116558,0.0558813651097198
