;Err_exog;Err_noreg;Err_LinReg
count;96.0;96.0;96.0
mean;4346.589637068738;4403.086069914702;4206.222693193958
std;4037.065576658374;4274.539959723134;2840.0853147643647
min;15.261770275203162;7.667674806827563;61.68281513956026
25%;1046.9511049506073;1360.5447711102825;2247.1089230751095
50%;3217.157294397268;2285.461275931004;3724.9193013890035
75%;6350.4551501424685;6005.539607185841;6042.4876980914305
max;17329.62049425603;17103.838818291537;11800.850332267597
