;Err_exog;Err_noreg;Err_LinReg
count;96.0;96.0;96.0
mean;244.28168994635044;255.1082236181068;221.88992310123672
std;177.50209708403347;199.19803320698938;153.12966252551146
min;3.0821011450598377;5.8926457716931955;2.946973430405854
25%;120.51052323524682;98.10217797789302;116.54045452939178
50%;194.36936465827404;228.77209794541878;194.56326436571374
75%;335.4596994657751;347.60122728421857;339.4634951163346
max;770.8579009838251;897.3023330465741;603.5661805626784
