;Err_bal_pred;Err_bal_reconst_th;Err_bal_reconst_noth
count;96.0;96.0;96.0
mean;-632.1095510726981;2439.444560142403;-1789.3707149657591
std;1691.3262455792908;5396.981890569846;6168.144715684533
min;-5813.929722816467;-10942.537929310052;-16858.41822031535
25%;-1398.4462003409246;-707.2165047553224;-5499.693080154469
50%;-686.4847715547885;2671.9371116087596;-1347.5745338551433
75%;509.89940468290035;5857.803933066965;2863.4322220689546
max;3635.549813242675;13897.493179545376;11404.316592243786
