Dates;Balance;Bal_p_sinus;Err_sinus;Bal_p_exog;Err_exog;Bal_p_filter;Err_exog_filter;Bal_p_reduit_noreg;Err_filter_noreg;Bal_p_reduit;Err_filter_exog_filter;Bal_p_LinReg;Err_LinReg;Bal_p_LinReg_filter;Err_LinReg_filter
2020-01-01 00:00:00;4203.833333333333;6319.186780114966;2115.3534467816326;6210.057129068342;2006.223795735009;7869.788848435363;3665.9555151020304;5790.916249149382;1587.0829158160486;6920.479244325175;2716.6459109918424;5896.380612380685;1692.5472790473523;5869.594788460639;1665.7614551273064
2020-01-01 03:00:00;3650.666666666666;5553.239166071851;1902.5724994051852;5142.860498855784;1492.1938321891175;3571.496072051883;79.17059461478311;7669.323316215963;4018.656649549297;5280.766107244934;1630.0994405782676;6363.901693464027;2713.2350267973607;6322.938166738764;2672.271500072098
2020-01-01 06:00:00;2513.0;5018.625312556458;2505.625312556458;7309.42321491721;4796.42321491721;4960.43555006944;2447.43555006944;4613.413249878562;2100.413249878562;5764.554401948985;3251.5544019489853;4042.62010107851;1529.6201010785098;4036.4630212881398;1523.4630212881398
2020-01-01 09:00:00;1314.1666666666667;7344.375083269697;6030.20841660303;8529.542776123477;7215.37610945681;6924.161980994479;5609.995314327812;4907.794098006091;3593.627431339424;4713.895521759914;3399.728855093247;4571.6469681357885;3257.4803014691215;4827.829497960745;3513.6628312940784
2020-01-01 12:00:00;695.1666666666665;7646.142748255144;6950.976081588478;9955.135231433382;9259.968564766716;8914.462532923117;8219.29586625645;5699.582140221515;5004.415473554849;7379.532456961189;6684.365790294523;4636.207310030863;3941.040643364196;4928.776622785919;4233.609956119253
2020-01-01 15:00:00;6607.333333333332;8902.444748263077;2295.1114149297446;8715.117600361667;2107.7842670283353;8138.648966726317;1531.3156333929846;7805.288514394185;1197.9551810608527;6880.375331519993;273.04199818666075;6019.8687042326;587.464629100732;6422.294490383177;185.0388429501554
2020-01-01 18:00:00;6243.666666666668;7687.825165151912;1444.1584984852443;8229.846698232177;1986.1800315655091;7841.83028181732;1598.1636151506518;5499.077278474157;744.5893881925113;5678.647751958812;565.0189147078563;5568.551160208142;675.1155064585255;6032.341689546118;211.3249771205501
2020-01-01 21:00:00;5925.0;6815.045833116664;890.0458331166637;7283.158433775992;1358.1584337759923;7930.48158841611;2005.4815884161098;5838.726954314623;86.27304568537693;6475.297577738664;550.2975777386637;5650.99565401484;274.0043459851604;5921.288898801219;3.7111011987808524
2020-01-02 00:00:00;2701.833333333333;6056.601352441115;3354.7680191077816;7843.011366353855;5141.178033020522;6271.1529021666465;3569.3195688333135;6815.572515532952;4113.739182199619;6667.979303488917;3966.145970155584;5720.294703902644;3018.461370569311;5788.283599972376;3086.4502666390426
2020-01-02 03:00:00;4465.5;7603.45997116951;3137.95997116951;8022.949801200091;3557.4498012000913;7112.181463269069;2646.6814632690694;5411.35727501779;945.85727501779;5010.096160528909;544.5961605289094;5947.418108994281;1481.9181089942813;5960.490902854326;1494.9909028543261
2020-01-02 06:00:00;4739.0;9497.695114048025;4758.695114048025;5873.309000260847;1134.309000260847;9485.057974790074;4746.057974790074;5068.175346717062;329.175346717062;5519.80964902308;780.80964902308;4268.399920021791;470.60007997820867;4381.462580216932;357.5374197830679
2020-01-02 09:00:00;5107.5;5904.742976952494;797.2429769524942;5377.8152668288785;270.3152668288785;5896.985946277497;789.4859462774966;5525.701620136809;418.20162013680874;5314.301714263247;206.80171426324705;5193.709789835082;86.20978983508212;5592.267598881115;484.7675988811152
2020-01-02 12:00:00;6207.5;7369.742391402966;1162.242391402966;5918.53565708538;288.9643429146199;7149.646781484951;942.1467814849511;7265.565081179446;1058.0650811794458;6959.760109367033;752.2601093670328;4977.806892625691;1229.693107374309;5347.569721458812;859.9302785411883
2020-01-02 15:00:00;8859.333333333334;6047.8127450773345;2811.5205882559994;5299.534616939192;3559.7987163941416;6228.390266926229;2630.943066407105;5965.476797376938;2893.8565359563963;6253.739499939039;2605.593833394295;6387.220819944556;2472.112513388778;6859.859084993955;1999.4742483393793
2020-01-02 18:00:00;7873.5;5016.488739725561;2857.0112602744393;5980.368457991879;1893.131542008121;5403.508958100364;2469.991041899636;5479.45008662384;2394.0499133761596;5657.808887286262;2215.691112713738;6125.310783439243;1748.189216560757;6681.2638422415785;1192.2361577584215
2020-01-02 21:00:00;8098.166666666668;5315.978290862047;2782.1883758046206;5953.0999713292385;2145.0666953374293;5505.879601004386;2592.2870656622817;5579.419133972569;2518.7475326940985;5378.484740785749;2719.681925880919;6118.791200766211;1979.3754659004571;6476.444030707951;1621.7226359587166
2020-01-03 00:00:00;5236.833333333333;6572.627361322865;1335.794027989532;6475.285887656827;1238.452554323494;6262.24704803459;1025.413714701257;6975.2871514179515;1738.4538180846184;6528.451907252265;1291.6185739189323;6332.5666675793655;1095.7333342460324;6520.033405241182;1283.2000719078487
2020-01-03 03:00:00;7029.0;5911.479230929234;1117.5207690707657;5427.767986747119;1601.2320132528812;5722.747170694361;1306.2528293056394;5584.362811089224;1444.6371889107759;5786.88525483744;1242.1147451625602;6854.725592217371;174.27440778262917;7003.767807849981;25.232192150018818
2020-01-03 06:00:00;7737.166666666668;5728.2095781788785;2008.9570884877894;4666.5902424063315;3070.5764242603364;6288.105895976574;1449.0607706900937;5311.19587349299;2425.9707931736775;5650.274742777049;2086.8919238896187;5442.391765328472;2294.7749013381963;5689.226941595781;2047.939725070887
2020-01-03 09:00:00;9185.0;5269.287108454685;3915.712891545315;5255.477132202796;3929.5228677972036;5440.897347113118;3744.1026528868824;5816.4092208984885;3368.5907791015115;5657.074479357749;3527.9255206422513;6599.999926291661;2585.000073708339;7165.165284467128;2019.834715532872
