;Err_bal_pred;Err_bal_reconst_th;Err_bal_reconst_noth
count;5360.0;5360.0;5360.0
mean;-558.419699652174;1853.6018502807185;-2373.1910256175756
std;3500.145854579243;7257.402505059875;7923.197289528806
min;-12009.382251997316;-23293.99333513507;-30019.641483283216
25%;-2883.8800215968026;-2681.9910015254795;-6913.175496361773
50%;-711.4300304917815;2020.336942072668;-1703.0084294389653
75%;1717.9022203067702;6687.804250893152;3116.0488110092265
max;15313.798457859972;29263.954939439685;25217.362346847094
