Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_sinus;Err_sinus;Hyd_p_exog;Err_exog;Hyd_p_filter;Err_exog_filter;Hyd_p_reduit_noreg;Err_filter_noreg;Hyd_p_reduit;Err_filter_exog_filter;Hyd_p_LinReg;Err_LinReg;Hyd_p_LinReg_filter;Err_LinReg_filter
2020-01-01 00:00:00;8972.666666666666;25346;0.3540072069228543;5440.13429294566;3532.5323737210056;6023.127999610207;2949.538667056459;6681.6018458611525;2291.0648208055127;3689.8929953123493;5282.773671354316;3658.3824349035904;5314.284231763075;6979.789486330917;1992.8771803357486;6975.916873111928;1996.7497935547378
2020-01-01 03:00:00;6969.5;25346;0.27497435492779926;4343.118464940882;2626.381535059117;4979.7545417720285;1989.7454582279718;5584.033947444149;1385.466052555851;3118.546477445826;3850.9535225541736;3082.049719356888;3887.450280643112;7116.033478010649;146.53347801064825;7114.157962991249;144.65796299124904
2020-01-01 06:00:00;6546.166666666668;25346;0.2582721796996239;5092.084903527736;1454.0817631389316;5543.163472659448;1003.0031940072193;5994.3808618349;551.7858048317673;6246.322996925262;299.84366974140596;6253.009288685263;293.1573779814046;7142.378089573552;596.2114229068842;7140.88874040024;594.7220737335722
2020-01-01 09:00:00;6779.333333333332;25346;0.2674715273941976;5587.228816845323;1192.1045164880088;5982.979774886553;796.3535584467792;6340.773963116171;438.55937021716153;6430.410534739053;348.9227985942796;6462.376149199254;316.9571841340788;7142.543685632037;363.21035229870364;7141.056763806795;361.72343047346243
2020-01-01 12:00:00;7284.333333333332;25346;0.2873957757963123;5935.930185042705;1348.4031482906275;6289.655193950799;994.6781393825332;6599.361627842093;684.9717054912389;5331.81938357677;1952.5139497565626;5340.385880582171;1943.9474527511609;7178.422937427441;105.91039590589124;7177.461942568077;106.87139076525537
2020-01-01 15:00:00;8578.0;25346;0.33843604513532705;5647.248720070111;2930.751279929889;5873.149998569418;2704.8500014305814;6086.950748361514;2491.0492516384847;5929.094574132745;2648.905425867254;5951.704804012646;2626.2951959873535;7161.082007427144;1416.9179925728554;7159.866824917699;1418.1331750823003
2020-01-01 18:00:00;11181.666666666664;25346;0.44116099844814427;8626.608488709755;2555.0581779569093;8879.934009646131;2301.732657020533;9348.848180158338;1832.8184865083253;8138.731579833086;3042.9350868335796;8564.750389190915;2616.91627747575;7139.915812434851;4041.7508542318133;7138.390370592939;4043.2762960737264
2020-01-01 21:00:00;9154.166666666666;25346;0.3611681001604461;6704.162922267606;2450.003744399061;6539.9246638693085;2614.2420027973576;6552.993978301857;2601.17268836481;3773.15548377623;5381.011182890436;3822.5063053757826;5331.660361290884;7158.277882068872;1995.8887845977952;7157.021595994891;1997.145070671776
2020-01-02 00:00:00;6620.333333333332;25346;0.26119834819432386;5436.829220874596;1183.5041124587367;5551.465222885295;1068.8681104480374;5660.216288103419;960.1170452299137;5566.177061217767;1054.1562721155656;5606.1654541294;1014.1678792039329;7165.34582302709;545.0124896937577;7164.193140583541;543.859807250209
2020-01-02 03:00:00;6188.333333333332;25346;0.24415423867013858;6119.538255223852;68.79507810948078;6085.892168437475;102.44116489585696;6206.842401276127;18.509067942794168;7841.500864490556;1653.1675311572233;7658.859226635627;1470.525893302295;7135.7866312455735;947.4532979122414;7134.200662842326;945.8673295089936
2020-01-02 06:00:00;7727.666666666668;25346;0.304887030169126;8026.951547256028;299.2848805893608;7965.257253752629;237.59058708596191;8211.075625209918;483.40895854325106;9631.795774810204;1904.1291081435363;9545.311211262351;1817.6445445956847;7131.01064934747;596.6560173191981;7129.354673417781;598.3119932488868
2020-01-02 09:00:00;10645.333333333334;25346;0.4200005260527631;9935.980141572778;709.3531917605551;9979.532444835308;665.8008884980261;10393.490693636331;251.84263969700262;9148.124009869227;1497.209323464107;9096.79173466636;1548.5415986669734;7152.466276411775;3492.8670569215597;7151.124802381602;3494.208530951731
2020-01-02 12:00:00;11664.666666666664;25346;0.46021725979115696;8149.203660851081;3515.463005815584;8389.351421851183;3275.3152448154815;8773.235426803782;2891.431239862882;8878.94081023556;2785.7258564311046;8780.361740056518;2884.304926610146;7138.369284784315;4526.297381882349;7136.821173556776;4527.845493109889
2020-01-02 15:00:00;10811.666666666666;25346;0.4265630342723375;11102.675065589097;291.0083989224312;10840.869371183891;29.20270451722454;11309.979624537607;498.3129578709404;11984.705475901015;1173.0388092343496;11784.88174395234;973.2150772856721;7165.870774381327;3645.79589228534;7164.725786804842;3646.9408798618247
2020-01-02 18:00:00;11935.5;25346;0.4709027065414661;9926.734701348154;2008.765298651846;10314.33661562213;1621.163384377871;10824.699142091975;1110.8008579080254;9087.755854709072;2847.7441452909275;9168.225182470538;2767.2748175294614;7212.5674656274805;4722.9325343725195;7212.106969725563;4723.393030274436
2020-01-02 21:00:00;7839.0;25346;0.3092795707409453;6756.318014234158;1082.681985765842;6846.189967982317;992.8100320176828;7076.948383690475;762.0516163095253;7910.506163698498;71.50616369849894;7785.781264654874;53.21873534512657;7201.235225236133;637.7647747638664;7200.6086185457425;638.3913814542574
2020-01-03 00:00:00;6427.833333333332;25346;0.2536034614271811;6650.733697399274;222.90036406594209;6743.291203488734;315.4578701554016;7051.167681302563;623.3343479692309;7245.455643144112;817.6223098107806;7239.945338474924;812.1120051415922;7188.864480197485;761.031146864153;7188.0565400600935;760.2232067267618
