;Err_bal_pred;Err_bal_reconst_th;Err_bal_reconst_noth
count;670.0;670.0;670.0
mean;2379.601294838274;5751.530843363781;6042.974052393483
std;1832.248314068524;4329.655498440512;4823.377348205227
min;9.81834752965915;8.361249544654129;7.4015617123268385
25%;945.142104375974;2379.3641392256127;2254.2709946366467
50%;2039.273156309394;4794.8993431714825;4922.483204281025
75%;3360.985665513919;8538.361173467294;8232.299328222949
max;9292.431075727432;22840.858552787686;26218.93031204695
