Dates;Eolien;Capa_eol;TCH_eol;Eol_p_sinus;Err_sinus;Eol_p_exog;Err_exog;Eol_p_filter;Err_exog_filter;Eol_p_reduit_noreg;Err_filter_noreg;Eol_p_reduit;Err_filter_exog_filter;Eol_p_LinReg;Err_LinReg;Eol_p_LinReg_filter;Err_LinReg_filter
2020-01-01;1750.1874999999998;16494;0.10611055535346185;4230.525063681742;2480.337563681742;2867.23302417553;1117.04552417553;3396.2840326174505;1646.096532617451;7593.477785140214;5843.290285140214;5295.6106564371485;3545.4231564371485;2177.1408014260137;426.9533014260137;2525.306173844399;775.1186738443989
2020-01-02;3404.9375;16497;0.206397375280354;2474.1035768412003;930.8339231588;3644.612500540587;239.6750005405871;2966.5632051659127;438.3742948340875;1319.404316203347;2085.5331837966532;2805.080112597704;599.8573874022962;3816.893833468928;411.95633346892765;4021.53941258572;616.6019125857198
2020-01-03;7271.083333333334;16499;0.4406984261672425;3027.1781358824273;4243.905197450907;2744.9872854389937;4526.096047894339;1753.5631411030909;5517.520192230242;4600.250211005512;2670.833122327821;2832.566111152676;4438.517222180658;5362.894094453807;1908.189238879526;5394.45440827735;1876.628925055984
2020-01-04;3247.645833333333;16503;0.1967912399765699;2139.1494817690213;1108.4963515643115;2708.984281267308;538.6615520660251;1349.6104796672023;1898.0353536661307;3986.937836421957;739.292003088624;2854.6620608335184;392.98377249981434;3306.9407497270254;59.29491639369232;3519.124164197463;271.47833086413004
2020-01-05;1609.7916666666665;16507;0.09752175844591182;2121.59748040043;511.8058137337635;2411.8736120087424;802.0819453420761;2292.641551121909;682.8498844552425;1724.5509803766363;114.75931370996996;2317.134504143673;707.3428374770065;1354.3715762600045;255.42009040666184;1693.9977255228698;84.20605885620331
2020-01-06;4051.895833333334;16509;0.2454355704969007;1728.4623433239483;2323.4334900093854;2550.924112037282;1500.9717212960518;1034.8740792099773;3017.0217541233565;2970.544470845113;1081.3513624882205;1813.0584531495324;2238.8373801838015;2712.5168483763537;1339.3789849569803;3002.4576005665695;1049.438232766764
2020-01-07;4119.166666666666;16512;0.24946503552971572;1518.3437472714;2600.822919395266;3279.186258583139;839.9804080835266;1920.7528812177784;2198.4137854488877;1615.4795097259748;2503.6871569406912;2451.7929362243485;1667.3737304423175;3821.602432768879;297.5642338977867;4008.804526322904;110.36214034376161
2020-01-08;4286.979166666666;16516;0.2595652195850488;1454.1118159492992;2832.8673507173667;3335.2109931795376;951.7681734871285;1209.5763332500064;3077.4028334166596;1311.2541070173197;2975.7250596493463;1218.2983484587721;3068.680818207894;3549.418814942678;737.5603517239878;3712.8269518395455;574.1522148271205
2020-01-09;9540.0625;16519;0.577520582359707;1496.6797463026255;8043.382753697375;5108.595634343709;4431.466865656292;1825.9295661556769;7714.132933844324;2152.4524551163477;7387.610044883653;2574.2038707637194;6965.858629236282;6309.194006977032;3230.8684930229692;6194.147681938221;3345.9148180617804
2020-01-10;5293.874999999999;16523;0.32039429885613985;2480.3552040232094;2813.5197959767893;5851.9862724456;558.1112724456008;2771.049029523214;2522.8259704767847;939.3292576822826;4354.545742317716;2134.952622011481;3158.922377988518;4935.500751706163;358.37424829383576;4935.280074295896;358.59492570410276
2020-01-11;3453.104166666666;16526;0.2089497861954899;2773.99738772607;679.106778940596;5879.8160224442045;2426.7118557775384;3775.423757141287;322.3195904746209;2561.6329196755387;891.4712469911273;3765.9036379966974;312.7994713300313;2984.4024348521334;468.7017318145325;3216.0979334156586;237.0062332510073
2020-01-12;5893.770833333332;16529;0.3565715308447778;2136.2600831257428;3757.510750207589;5959.3526651268585;65.58183179352687;1386.3837418312203;4507.387091502112;2414.907764374772;3478.86306895856;1233.2013195980392;4660.569513735292;4414.03324742227;1479.7375859110623;4578.743987429121;1315.026845904211
2020-01-13;6369.416666666666;16532;0.3852780466166626;1956.8620649303393;4412.554601736327;8847.205435750946;2477.788769084279;3230.546746175507;3138.869920491159;1623.4274524155653;4745.989214251101;3698.315066805577;2671.101599861089;5962.432329750893;406.9843369157734;5990.166500433408;379.2501662332583
2020-01-14;12260.520833333336;16534;0.7415338595217936;3047.20417306039;9213.316660272945;10013.272488540466;2247.2483447928703;4783.307441290792;7477.213392042544;809.9904427295496;11450.530390603786;3010.143813911668;9250.377019421667;9135.101338072964;3125.4194952603725;8773.746805144334;3486.774028189003
2020-01-15;9832.875;16537;0.5945984761444034;3646.794738826891;6186.080261173109;8560.44571629209;1272.4292837079104;3682.8155569523165;6150.059443047682;2327.504862785129;7505.37013721487;2953.4485799257673;6879.426420074232;8326.008379645838;1506.866620354161;8070.487027856735;1762.3879721432645
2020-01-16;6926.499999999999;16541;0.41874735505713073;1824.1103210245058;5102.389678975494;9517.823625560331;2591.323625560332;3736.4977917848773;3190.002208215122;883.3024155021477;6043.1975844978515;2904.719335873767;4021.7806641262323;6861.84301316652;64.65698683347937;6746.98865216136;179.51134783863992
2020-01-17;8090.749999999999;16543;0.4890739285498398;2120.9571304354454;5969.792869564554;12214.31413986881;4123.564139868809;4334.884069439071;3755.865930560928;2298.7301187422822;5792.019881257717;4031.6417887088073;4059.108211291192;5544.873168203813;2545.876831796186;5445.006852489474;2645.7431475105254
2020-01-18;3274.166666666666;16545;0.19789463080487554;2970.7454230492494;303.42124361741634;14072.540821815342;10798.374155148676;4276.9571693728685;1002.7905027062023;1399.0504467387304;1875.1162199279354;3420.032188763243;145.86552209657702;3975.1461606853723;700.9794940187064;4109.628459699477;835.4617930328111
