;Err_sinus;Err_exog;Err_filter_noreg;Err_LinReg
count;670.0;670.0;670.0;670.0
mean;3703.2105209115157;3803.557853933036;3766.6301525805206;2379.6012948382745
std;2944.096436972775;3038.2026872202423;2937.10821136203;1832.2483140685238
min;8.235406621525726;3.039606284736692;3.1897847265236123;9.81834752965915
25%;1315.8889197232004;1380.0037605559348;1396.559750856436;945.1421043759742
50%;3060.027616038893;3033.083227347567;3051.696426430166;2039.273156309392
75%;5360.689521141319;5881.087782744269;5495.192916868022;3360.9856655139197
max;13403.984977351904;14371.692755159194;14652.681368338868;9292.431075727432
