Dates;Balance;Bal_p_sinus;Err_sinus;Bal_p_exog;Err_exog;Bal_p_filter;Err_exog_filter;Bal_p_reduit_noreg;Err_filter_noreg;Bal_p_reduit;Err_filter_exog_filter;Bal_p_LinReg;Err_LinReg;Bal_p_LinReg_filter;Err_LinReg_filter
2020-01-01;3894.104166666666;7349.510264071472;3455.406097404806;7975.352674888893;4081.2485082222265;11220.821179606684;7326.717012940018;6913.751320459476;3019.64715379281;10950.08076963833;7055.976602971665;4871.365694628783;977.2615279621168;4864.782524400728;970.678357734062
2020-01-02;6006.541666666668;6541.64260159944;535.1009349327724;5545.589751465697;460.9519152009707;6750.001148656804;743.4594819901358;5447.4411963102575;559.1004703564104;5044.772835022422;961.7688316442454;4459.467558692281;1547.0741079743866;4460.966427002922;1545.5752396637463
2020-01-03;7992.229166666668;5724.055738481711;2268.1734281849567;6651.45142441087;1340.7777422557983;6080.764856367562;1911.4643102991058;5766.364611057018;2225.86455560965;6241.9851126408275;1750.2440540258403;3504.384786223619;4487.844380443049;3522.245570921437;4469.983595745231
2020-01-04;5082.750000000001;5511.252189922926;428.502189922925;8138.263016067791;3055.51301606779;6096.227354873806;1013.4773548738049;6554.451233713919;1471.7012337139176;6930.01412738731;1847.2641273873087;4773.458141603326;309.2918583966748;4768.827231297001;313.92276870299975
2020-01-05;6706.375000000001;6928.727229525039;222.35222952503773;7452.341284849589;745.9662848495882;8291.742033707707;1585.3670337077065;6645.882260002309;60.4927399976923;7773.263515965598;1066.8885159655974;6218.8275085044115;487.5474914955894;6177.1838505050655;529.1911494949354
2020-01-06;3023.916666666666;5983.466408571208;2959.5497419045423;5361.345367300584;2337.428700633918;6986.708608994976;3962.79194232831;6596.783104870527;3572.8664382038605;7076.749361321717;4052.8326946550505;4788.017572071129;1764.1009054044625;4772.787297144393;1748.870630477727
2020-01-07;6054.229166666668;6110.740999910621;56.51183324395333;5752.962615379813;301.26655128685525;6612.215691627776;557.9865249611084;6114.601002379697;60.37183571302921;6296.2301784379;242.0010117712318;4393.3026100298775;1660.9265566367903;4391.310510995243;1662.9186556714249
2020-01-08;8186.770833333334;6102.421585974332;2084.349247359002;6452.821233619309;1733.9495997140248;6553.649827055438;1633.1210062778955;5623.755458621414;2563.0153747119202;6213.681954834117;1973.0888784992167;4258.891434285265;3927.879399048069;4258.36827126306;3928.402562070274
2020-01-09;7686.250000000001;5475.810951887108;2210.439048112893;5398.385673831671;2287.86432616833;4918.618479199877;2767.6315208001242;6018.341277587281;1667.9087224127197;5548.471989613577;2137.7780103864243;2342.5734863652383;5343.676513634762;2393.0766569566604;5293.1733430433405
2020-01-10;6276.854166666666;5504.677517891518;772.1766487751484;6406.817724443682;129.96355777701592;5696.2168647456965;580.6373019209695;6436.87501516152;160.02084849485436;6814.111481952964;537.2573152862979;3588.299693180961;2688.554473485705;3609.8896934524746;2666.9644732141915
2020-01-11;6953.666666666668;6704.97362269307;248.69304397359792;8313.272521822148;1359.6058551554797;6415.259088360118;538.40757830655;7476.009640697632;522.3429740309639;6996.784357905969;43.117691239301166;6566.801680306557;386.8649863601113;6514.897569614227;438.7690970524409
2020-01-12;7053.916666666666;7113.434920987811;59.51825432114492;7472.255323807068;418.33865714040166;7193.549197059588;139.63253039292158;7418.146574679388;364.22990801272226;7391.327442045345;337.4107753786793;7217.036183856115;163.11951718944874;7156.277228122375;102.3605614557091
2020-01-13;9835.333333333334;6067.373384785035;3767.9599485482986;2620.896064704005;7214.437268629329;6656.102070371907;3179.231262961427;4338.57141030419;5496.761923029144;5114.782389442551;4720.550943890783;5765.844781817186;4069.4885515161477;5741.768176652354;4093.56515668098
2020-01-14;8097.604166666668;3023.802270952278;5073.80189571439;2519.0023018636416;5578.601864803026;1914.7191774296898;6182.884989236978;3256.5448881932243;4841.059278473444;2011.7049375361325;6085.899229130535;3235.610377921297;4861.993788745371;3253.674919605063;4843.929247061605
2020-01-15;7673.895833333332;3160.5051113915924;4513.39072194174;1653.4120680314613;6020.483765301871;2657.7580804614254;5016.137752871907;2074.5739388213315;5599.321894512001;2159.86232197362;5514.033511359712;2294.947065453463;5378.948767879869;2335.90967804325;5337.986155290082
2020-01-16;7994.208333333332;771.333688320879;7222.874645012453;-1057.466319173126;9051.67465250646;1759.4141203555469;6234.794212977786;355.20114470615977;7639.007188627173;1960.042574314214;6034.165759019118;2384.452863147045;5609.755470186287;2418.5185552403136;5575.6897780930185
2020-01-17;10126.416666666666;-1342.757874379309;11469.174541045975;-1619.3323710366008;11745.749037703266;-630.0688544250966;10756.485521091763;-1228.9168190600726;11355.333485726738;-563.0527893842891;10689.469456050956;2645.4127601792006;7481.003906487465;2671.4369079615926;7454.979758705073
2020-01-18;6171.1875;-728.1397429217668;6899.327242921767;3057.206060838527;3113.981439161473;1239.102115511179;4932.085384488821;-791.0539273531707;6962.24142735317;1027.9193457191268;5143.268154280873;3510.512968145003;2660.674531854997;3517.7974461087165;2653.3900538912835
2020-01-19;5907.416666666668;2586.1736088983507;3321.243057768317;4413.567108997018;1493.8495576696496;4276.232035543419;1631.1846311232484;3541.736080219601;2365.680586447067;4398.9811717649;1508.435494901768;3638.988214523304;2268.4284521433638;3638.7082255634696;2268.7084411031983
2020-01-20;3544.854166666666;3088.062263850766;456.7919028158999;1460.1093669283405;2084.7447997383256;3682.787690377001;137.93352371033507;3667.017946741796;122.16378007513003;3677.082102522095;132.22793585542877;2766.1930439175458;778.6611227491203;2790.700814720408;754.1533519462582
2020-01-21;645.5833333333334;2168.9841116163198;1523.4007782829863;1903.1855493092585;1257.602215975925;1966.7772768185337;1321.1939434852002;2051.526283048426;1405.9429497150927;1743.0049363268336;1097.4216029935;2416.2845698981414;1770.701236564808;2437.896284001029;1792.3129506676955
2020-01-22;2554.6666666666665;1893.3129886809988;661.3536779856677;2483.2621013262697;71.40456534039686;2505.338991969361;49.32767469730561;1945.649402973353;609.0172636933135;2738.2146829119374;183.5480162452709;2689.971054708797;135.30438804213054;2708.7817604621578;154.11509379549125
2020-01-23;2875.333333333333;2904.1899366299695;28.856603296636422;2847.299937074048;28.033396259284928;4331.724155205319;1456.3908218719862;2365.593820020295;509.73951331303806;3956.168343795235;1080.8350104619021;2947.9072916752657;72.57395834193267;2971.1990356399237;95.86570230659072
2020-01-24;784.375;3529.724615221129;2745.349615221129;1926.338604967949;1141.963604967949;4750.947421424529;3966.5724214245292;2600.821353664847;1816.4463536648468;3837.6243410538773;3053.2493410538773;3495.5652287533935;2711.1902287533935;3515.2372305173226;2730.8622305173226
2020-01-25;4084.854166666666;1716.1812037004818;2368.672962966184;4728.947474313051;644.0933076463853;3552.432002990804;532.4221636758621;2545.554485070373;1539.2996815962929;4015.491622574823;69.36254409184312;4286.1000523437015;201.2458856770354;4292.355915546411;207.5017488797448
2020-01-26;7284.1875;4199.514611120548;3084.6728888794523;5834.545948523682;1449.6415514763185;5990.522691510729;1293.6648084892713;4471.150476363965;2813.037023636035;5472.045733493271;1812.1417665067293;3907.5238981063862;3376.6636018936138;3910.4218040566143;3373.7656959433857
2020-01-27;6491.916666666668;5727.05365965726;764.8630070094077;5005.538056532506;1486.378610134162;6902.573232894718;410.65656622805;7013.447288856623;521.5306221899555;7398.45451273397;906.5378460673019;2436.277914589116;4055.638752077552;2467.5734423292092;4024.3432243374587
2020-01-28;9624.354166666668;5852.3273508812745;3772.0268157853934;5958.061473652964;3666.2926930137037;4593.164497131239;5031.189669535429;8428.231416455736;1196.1227502109323;6363.745500524661;3260.6086661420068;2483.30152644804;7141.052640218628;2509.7327096673694;7114.621456999299
2020-01-29;3694.875;8178.249935959106;4483.374935959106;9351.04980070835;5656.17480070835;7874.271283789312;4179.396283789312;7469.054735626505;3774.179735626505;7681.395878384562;3986.520878384562;3159.213387380368;535.6616126196318;3192.9734434582565;501.9015565417435
2020-01-30;8357.104166666666;9497.698182929871;1140.594016263205;8891.185969827275;534.0818031606086;8329.327857226854;27.776309439812394;8804.1821055512;447.07793888453307;8095.058304092228;262.0458625744377;4221.310315443702;4135.793851222964;4230.552400809471;4126.551765857195
2020-01-31;9673.020833333334;8967.278257737029;705.742575596305;9100.869227906154;572.1516054271797;7992.76396691032;1680.256866423014;8632.22098824726;1040.7998450860741;8191.524894074157;1481.4959392591772;4179.656149741732;5493.3646835916015;4191.035294019179;5481.985539314155
2020-02-01;9366.729166666666;8215.622396131826;1151.1067705348396;7908.691921035734;1458.0372456309324;8313.34201641945;1053.3871502472157;6589.358989006259;2777.3701776604066;7214.284874968283;2152.4442916983835;4525.935439741711;4840.793726924955;4547.47216225147;4819.257004415196
2020-02-02;13120.791666666664;7561.751202481501;5559.040464185163;6275.342413584427;6845.449253082237;7628.443764169351;5492.347902497313;7369.757579455788;5751.034087210876;7273.3503690173875;5847.441297649277;4891.245152895461;8229.546513771204;4913.022875958735;8207.768790707929
2020-02-03;14025.249999999998;5258.221224800219;8767.028775199778;4950.869150251526;9074.380849748472;5210.238804830058;8815.01119516994;6765.201406383074;7260.048593616924;6260.281610786421;7764.968389213577;5666.335015155608;8358.91498484439;5660.82761149211;8364.422388507888
2020-02-04;12786.666666666668;6275.2859685873345;6511.380698079333;5530.167808553517;7256.498858113151;5008.9685313613845;7777.698135305283;7485.861543986654;5300.8051226800135;5846.156493320783;6940.510173345885;5426.475781317367;7360.1908853493005;5411.329199518888;7375.3374671477795
2020-02-05;9552.5625;6941.432599800451;2611.1299001995494;4611.17326130075;4941.38923869925;6541.610650991515;3010.9518490084847;5993.449260709119;3559.113239290881;6229.804132344638;3322.7583676553622;6953.442183618271;2599.120316381729;6921.796220084467;2630.7662799155332
