Dates;Consommation;Conso_p_sinus;Err_sinus;Conso_p_exog;Err_exog;Conso_p_filter;Err_exog_filter;Conso_p_reduit_noreg;Err_filter_noreg;Conso_p_reduit;Err_filter_exog_filter;Conso_p_LinReg;Err_LinReg;Conso_p_LinReg_filter;Err_LinReg_filter
2020-01-01;60786.10416666666;53422.584711629665;7363.519455036992;55379.3579447488;5406.746221917856;49836.067196076365;10950.036970590292;58434.45109533667;2351.653071329987;51770.5986523481;9015.50551431856;67343.07721830926;6556.973051642606;66873.0457513905;6086.9415847238415
2020-01-02;64966.68750000001;60334.19098339023;4632.496516609775;63580.69723860934;1385.990261390667;56534.99783524287;8431.689664757134;60169.92792013154;4796.759579868471;43367.607510848444;21599.079989151563;64528.390384893384;438.2971151066231;64159.093395508906;807.5941044911015
2020-01-03;63830.375;58926.72138686139;4903.653613138609;65422.65483690292;1592.2798369029188;58767.70579795267;5062.669202047327;61039.0192141665;2791.355785833497;48690.3334596976;15140.041540302402;60862.25331605895;2968.121683941048;60624.163250945305;3206.2117490546952
2020-01-04;60931.66666666666;57150.3860714576;3781.2805952090566;64513.64587162211;3581.9792049554526;58193.99931626846;2737.6673503981947;62977.84939354102;2046.1827268743655;51436.43881629551;9495.22785037115;63092.339442932054;2160.6727762653973;62774.43710237091;1842.770435704253
2020-01-05;60551.47916666668;54080.407241400724;6471.071925265955;59427.62674597713;1123.8524206895454;54938.15983585517;5613.319330811508;58548.422409866216;2003.0567568004626;48149.65016972339;12401.828996943288;65355.92997240155;4804.450805734872;64957.0162714892;4405.537104822521
2020-01-06;69904.54166666666;55127.20664294936;14777.3350237173;58491.34062177839;11413.201044888265;55329.6134814606;14574.92818520606;55145.31963609951;14759.222030567144;45525.116735623385;24379.42493104327;66491.55303032216;3412.9886363444966;66051.99665681923;3852.545009847425
2020-01-07;68540.27083333331;59136.176955761955;9404.093877571358;68934.69886899304;394.4280356597301;57929.489073812685;10610.781759520629;64264.48859730055;4275.782236032763;53270.968826216325;15269.302007116989;61927.91780574866;6612.353027584657;61651.68880655493;6888.582026778386
2020-01-08;65546.04166666669;78771.18446242815;13225.142795761465;78557.82100465601;13011.779337989326;77470.58687678193;11924.545210115248;69768.4687302768;4222.427063610114;56256.560357853836;9289.48130881285;58923.94656712331;6622.095099543374;58755.22632153529;6790.815345131399
2020-01-09;63750.62500000001;71460.30376313349;7709.678763133481;73360.07893569014;9609.45393569013;72332.31222768017;8581.687227680166;70529.68397900031;6779.058979000307;70392.64729444536;6642.022294445349;57916.681300179414;5833.943699820593;57784.00994614103;5966.615053858979
2020-01-10;64752.64583333332;68327.26931238259;3574.623479049267;70477.92210118515;5725.276267851827;68928.68261123718;4176.036777903857;72305.48860594763;7552.842772614305;70724.83423603963;5972.188402706313;61068.468326018636;3684.1775073146855;60822.99805752271;3929.647775810612
