Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_sinus;Err_sinus;Hyd_p_exog;Err_exog;Hyd_p_filter;Err_exog_filter;Hyd_p_reduit_noreg;Err_filter_noreg;Hyd_p_reduit;Err_filter_exog_filter;Hyd_p_LinReg;Err_LinReg;Hyd_p_LinReg_filter;Err_LinReg_filter
2021-01-12;9699.229166666666;25346;0.38267297272416423;8997.985735334516;701.2434313321507;8965.723168808261;733.5059978584059;8989.921511694869;709.3076549717977;9113.36316804303;585.8659986236369;9148.005138413477;551.224028253189;7135.386828074418;2563.8423385922483;7133.369139459307;2565.860027207359
2021-01-13;10211.583333333334;25346;0.402887372103422;9381.605252681018;829.9780806523162;9347.472463902874;864.110869430461;9353.806162149462;857.7771711838733;9746.423100424356;465.16023290897806;9752.038976645501;459.5443566878335;7267.789628206182;2943.7937051271524;7260.732657215923;2950.850676117412
2021-01-14;10069.562500000002;25346;0.3972840882190484;10085.315980564004;15.753480564002558;10044.220503169376;25.34199683062615;10021.52950956332;48.03299043668228;9659.494876602133;410.0676233978683;9626.802258182064;442.7602418179364;7227.370325308782;2842.192174691219;7221.8517226952035;2847.710777304798
2021-01-15;12560.124999999998;25346;0.495546634577448;9871.434723143906;2688.690276856092;9835.79577939962;2724.3292206003784;9845.098316566757;2715.0266834332415;9947.297939503087;2612.827060496911;9961.117644865619;2599.0073551343794;7212.839514310334;5347.285485689663;7207.873957853545;5352.251042146452
2021-01-16;9108.416666666666;25346;0.3593630816170862;10246.250095668149;1137.833429001483;10209.688883735853;1101.2722170691866;10215.001112546019;1106.5844458793522;9961.376170244559;852.9595035778927;9965.150782900384;856.7341162337169;7113.532496403331;1994.8841702633356;7112.346588900865;1996.070077765802
2021-01-17;7266.395833333334;25346;0.286688070438465;8569.326091926028;1302.9302585926948;8525.555393118639;1259.1595597853056;8503.398326556357;1237.0024932230233;8556.839220799642;1290.4433874663077;8524.120551147866;1257.7247178145315;7284.964887943708;18.569054610373982;7277.254222442473;10.858389109139004
2021-01-18;10666.6875;25346;0.42084303243115284;7784.155452462832;2882.5320475371677;7752.957183018658;2913.7303169813417;7771.240349346027;2895.447150653973;7882.965067302987;2783.7224326970127;7913.572410945033;2753.115089054967;7179.719727567719;3486.9677724322805;7176.014718149473;3490.672781850527
2021-01-19;10394.333333333334;25346;0.4100975827875536;9588.208241627384;806.1250917059498;9555.704743105389;838.6285902279449;9557.408030484308;836.9253028490245;9446.049239974152;948.2840933591802;9447.934727979336;946.398605353996;7123.636412103622;3270.696921229711;7122.065947142719;3272.267386190614
2021-01-20;8085.1875;25346;0.31899264183697623;10274.82461181131;2189.637111811309;10236.999757189917;2151.8122571899175;10243.136402487395;2157.948902487395;10101.831074772777;2016.643574772777;10105.425413008297;2020.2379130082975;7167.486891379416;917.7006086205831;7164.247466644729;920.9400333552704
2021-01-21;8392.645833333334;25346;0.33112308977090404;10581.237461570172;2188.5916282368385;10545.793386112391;2153.1475527790567;10543.295047505926;2150.649214172592;10035.338987640378;1642.6931543070446;10032.14046934875;1639.494636015415;7268.394940714962;1124.250892618372;7261.314931385227;1131.3309019481064
